cityid,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
12,2020,5,15,-.423,-.392,-.411,.0219,-.354,-.499,.,-.32,-.437
12,2020,5,16,-.421,-.382,-.412,.0109,-.353,-.491,.,-.321,-.435
12,2020,5,17,-.419,-.373,-.412,0,-.353,-.486,.,-.321,-.432
12,2020,5,18,-.416,-.363,-.411,-.0109,-.352,-.484,.,-.321,-.43
12,2020,5,19,-.414,-.354,-.411,-.0191,-.352,-.478,.,-.322,-.427
12,2020,5,20,-.411,-.345,-.409,-.0301,-.351,-.469,.,-.323,-.423
12,2020,5,21,-.408,-.337,-.409,-.041,-.35,-.464,.,-.326,-.421
12,2020,5,22,-.406,-.332,-.407,-.0546,-.348,-.455,.,-.329,-.418
12,2020,5,23,-.407,-.332,-.407,-.0683,-.344,-.449,.,-.332,-.418
12,2020,5,24,-.408,-.333,-.409,-.082,-.34,-.444,.,-.334,-.42
12,2020,5,25,-.41,-.334,-.414,-.0956,-.337,-.438,.,-.341,-.421
12,2020,5,26,-.409,-.334,-.41,-.0929,-.337,-.44,.,-.334,-.421
12,2020,5,27,-.409,-.335,-.409,-.0956,-.333,-.435,.,-.334,-.421
12,2020,5,28,-.409,-.337,-.41,-.0984,-.328,-.428,.,-.333,-.421
12,2020,5,29,-.409,-.339,-.414,-.0956,-.327,-.425,.,-.334,-.421
12,2020,5,30,-.41,-.34,-.417,-.0874,-.331,-.425,.,-.329,-.422
13,2020,1,1,.,.,.,.,.,.,.,.,.
13,2020,1,2,.,.,.,.,.,.,.,.,.
13,2020,1,3,.,.,.,.,.,.,.,.,.
13,2020,1,4,.,.,.,.,.,.,.,.,.
13,2020,1,5,.,.,.,.,.,.,.,.,.
13,2020,1,6,.,.,.,.,.,.,.,.,.
13,2020,1,7,.,.,.,.,.,.,.,.,.
13,2020,1,8,-.0197,-.042,-.00299,.00722,-.0201,-.0335,-.0101,-.0256,-.0183
13,2020,1,9,-.0208,-.0486,-.00849,.0078,-.0204,-.0189,-.00964,-.0275,-.02
13,2020,1,10,-.0214,-.0532,-.0175,.00664,-.0188,-.00386,-.0092,-.0291,-.0214
13,2020,1,11,-.0203,-.0557,-.0174,.0078,-.0181,-.00325,-.0102,-.0266,-.0209
13,2020,1,12,-.0192,-.0582,-.0171,.00895,-.0175,-.00386,-.0111,-.0241,-.0205
13,2020,1,13,-.0184,-.0608,-.0185,.0101,-.0168,-.00572,-.0125,-.0218,-.0211
13,2020,1,14,-.0173,-.0628,-.0196,.013,-.0159,-.00675,-.0135,-.0194,-.0199
13,2020,1,15,-.0156,-.0648,-.0192,.017,-.015,-.00469,-.0138,-.0166,-.0184
13,2020,1,16,-.0142,-.0668,-.0193,.0199,-.0134,-.00696,-.0141,-.0139,-.0192
13,2020,1,17,-.0129,-.0678,-.0179,.0222,-.0134,-.0107,-.0141,-.0113,-.0197
13,2020,1,18,-.0107,-.0537,-.0151,.0199,-.0119,-.0156,-.0132,-.0087,-.0163
13,2020,1,19,-.00827,-.0395,-.0114,.0176,-.0103,-.0189,-.0124,-.00546,-.012
13,2020,1,20,-.00558,-.0253,-.00638,.0153,-.00875,-.0216,-.0111,-.0025,-.00699
13,2020,1,21,-.00481,-.0253,-.00703,.0159,-.00898,-.0131,-.011,-.001,-.00685
13,2020,1,22,-.00148,-.0106,-.00348,.0124,-.00786,-.00778,-.0102,.00383,-.00118
13,2020,1,23,.00206,.00405,-.000242,.00837,-.00742,-.000155,-.00869,.00813,.00565
13,2020,1,24,.00567,.0203,.00283,.00606,-.0063,.0017,-.00641,.0119,.0127
13,2020,1,25,.00956,.0278,.00768,.00202,-.000279,.0161,-.000598,.0152,.0145
13,2020,1,26,.0124,.0354,.00994,-.00202,.00574,.02,.00444,.0172,.0148
13,2020,1,27,.018,.0572,.0169,-.00837,.0133,.0248,.0105,.0226,.0207
13,2020,1,28,.0202,.0648,.0201,-.0136,.0193,.0219,.0149,.024,.0205
13,2020,1,29,.0222,.0734,.0225,-.0199,.0256,.0176,.02,.0244,.0202
13,2020,1,30,.0244,.082,.0259,-.0257,.0316,.0141,.0246,.025,.0235
13,2020,1,31,.0259,.0866,.0276,-.0326,.037,.0155,.0284,.0254,.0234
13,2020,2,1,.0254,.0876,.025,-.0384,.0363,.0176,.0286,.0237,.027
13,2020,2,2,.0258,.0886,.0235,-.0442,.0356,.0303,.0294,.0229,.032
13,2020,2,3,.0258,.0896,.0221,-.05,.035,.0369,.03,.0221,.0352
13,2020,2,4,.0253,.0906,.0193,-.0569,.0343,.0419,.0306,.0203,.0365
