year,month,day,statefips,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle,spend_tws
2020,3,23,47,-.509,-.625,-.148,-.337,.381,-.276,-.191,-.122,-.166,-.52
2020,6,7,47,-.126,-.449,.0333,.181,.11,.0363,-.0821,.0884,.00122,-.48
2020,4,9,47,-.543,-.752,-.211,-.315,.111,-.499,-.252,-.177,-.236,-.639
2020,2,10,47,-.0448,.0599,-.0218,-.0122,.0251,-.024,.0234,-.029,-.021,-.101
2020,1,30,47,.0162,.0301,-.0143,-.00114,-.0431,.00984,-.00634,-.0199,-.0105,-.0158
2020,1,31,47,.0237,.0546,-.00165,.0112,-.0296,.00709,-.0131,-.00367,.00167,.0188
2020,3,17,47,-.22,-.346,.00168,-.0428,.565,-.0856,.0445,.00668,-.00833,-.333
2020,3,30,47,-.555,-.762,-.252,-.41,.0363,-.468,-.312,-.228,-.267,-.611
2020,6,1,47,-.145,-.47,.0129,.186,.0838,-.0258,-.0906,.0697,-.0222,-.493
2020,4,5,47,-.542,-.722,-.198,-.324,.165,-.491,-.262,-.159,-.225,-.607
2020,5,22,47,-.189,-.516,.0135,.185,.141,-.0582,-.106,.0695,-.0186,-.582
2020,3,4,47,-.0395,-.0505,-.0198,.0355,.0429,-.0777,.0168,-.0348,-.00848,-.136
2020,5,7,47,-.28,-.605,-.00385,-.000967,.192,-.221,-.147,.0549,-.0369,-.586
2020,3,22,47,-.473,-.595,-.114,-.306,.446,-.214,-.144,-.0861,-.136,-.476
2020,3,27,47,-.571,-.766,-.238,-.415,.13,-.431,-.286,-.218,-.25,-.592
2020,2,5,47,-.000376,-.0456,.00469,.00951,.0374,-.00861,.0288,.0027,.00339,-.00639
2020,5,27,47,-.17,-.512,.0215,.221,.0843,.0295,-.0787,.08,-.0155,-.556
2020,2,23,47,-.0728,-.137,-.0689,-.052,-.0438,-.104,.0241,-.0878,-.0626,-.115
2020,5,1,47,-.342,-.694,-.0124,-.0067,.289,-.325,-.205,.0724,-.0609,-.631
2020,3,16,47,-.185,-.327,.00325,-.0409,.498,-.0605,.0423,.00666,-.00487,-.314
2020,5,30,47,-.167,-.511,.0116,.211,.0529,-.0115,-.0935,.0725,-.027,-.516
2020,5,24,47,-.178,-.503,.0212,.217,.112,-.0077,-.0988,.079,-.0124,-.577
2020,4,23,47,-.354,-.723,-.0285,-.116,.169,-.307,-.206,.0525,-.0774,-.631
2020,3,10,47,-.0446,-.0881,-.0324,-.0104,.05,-.117,.0537,-.0405,-.0354,-.246
2020,6,8,47,-.13,-.446,.0297,.184,.101,-.00657,-.0872,.0858,-.00324,-.467
2020,3,24,47,-.533,-.691,-.177,-.361,.319,-.322,-.23,-.148,-.195,-.55
2020,5,6,47,-.284,-.614,-.00276,-.0149,.211,-.251,-.163,.0621,-.0385,-.588
2020,3,6,47,-.0414,-.0875,-.0375,.0191,.039,-.122,.0388,-.0555,-.029,-.185
2020,4,25,47,-.348,-.718,-.0359,-.103,.173,-.324,-.19,.0421,-.0846,-.644
2020,3,19,47,-.295,-.407,-.0314,-.11,.558,-.195,-.021,-.0095,-.0525,-.395
2020,2,26,47,-.0769,-.00495,-.0558,-.0701,-.0514,-.079,.0193,-.0719,-.0492,-.136
2020,4,26,47,-.346,-.735,-.0426,-.0643,.217,-.356,-.186,.0331,-.0902,-.656
2020,2,7,47,-.0243,-.0261,-.0135,-.000979,.0247,-.028,.0383,-.0238,-.0109,-.0749
2020,6,6,47,-.129,-.45,.0144,.165,.0947,.00465,-.0889,.0647,-.0156,-.496
2020,3,31,47,-.544,-.76,-.236,-.404,.0526,-.479,-.299,-.211,-.252,-.606
2020,5,2,47,-.33,-.68,-.0114,-.00567,.266,-.332,-.208,.0688,-.0553,-.605
2020,4,7,47,-.549,-.722,-.201,-.323,.151,-.509,-.246,-.163,-.229,-.612
2020,2,21,47,-.06,-.0891,-.0561,-.0505,-.0249,-.069,.0191,-.0657,-.0568,-.112
2020,3,20,47,-.351,-.447,-.0653,-.182,.505,-.205,-.0594,-.0414,-.0876,-.431
2020,4,6,47,-.546,-.724,-.199,-.324,.161,-.505,-.253,-.16,-.226,-.614
2020,2,17,47,-.0168,.0819,-.0103,.00262,.00572,-.000909,.0362,-.0108,-.016,-.101
2020,5,20,47,-.208,-.507,.0114,.164,.139,-.0382,-.0887,.064,-.021,-.583
2020,2,18,47,-.0338,-.00804,-.0188,-.000223,.000913,-.0064,.0151,-.0167,-.0252,-.0969
2020,2,20,47,-.0493,-.0567,-.0397,-.0286,-.0145,-.0615,.0112,-.0443,-.0421,-.104
2020,2,13,47,-.0526,.0598,-.0171,.0137,.0177,.0145,-.00775,-.0201,-.0155,-.099
2020,5,26,47,-.168,-.523,.0191,.207,.0903,.0211,-.0858,.078,-.0176,-.563
2020,5,9,47,-.261,-.62,.0252,.0476,.239,-.175,-.114,.0886,-.0119,-.603
2020,5,15,47,-.231,-.555,.015,.0998,.14,-.0805,-.111,.0773,-.0227,-.556
2020,2,3,47,.0292,.0138,.0135,.0322,.00868,-.00514,-.00666,.0141,.0157,.0268
2020,3,8,47,-.0404,-.0602,-.0177,.0123,.0418,-.0839,.066,-.0274,-.0185,-.215
2020,2,27,47,-.069,.0219,-.043,-.052,-.0387,-.0637,.0346,-.057,-.0381,-.13
2020,5,31,47,-.159,-.508,.00143,.193,.0665,-.0539,-.0904,.058,-.0353,-.508
2020,4,4,47,-.54,-.728,-.2,-.336,.165,-.492,-.27,-.163,-.223,-.601
2020,3,11,47,-.0517,-.101,-.0285,-.0198,.0793,-.11,.0374,-.0361,-.0298,-.255
2020,3,14,47,-.113,-.254,.0123,-.0166,.377,-.0837,.0614,.00666,.0114,-.263
2020,1,26,47,-.0094,-.081,-.0127,-.0208,.0189,-.0044,.00453,-.00971,-.0178,-.0547
2020,4,27,47,-.348,-.744,-.0293,.00762,.327,-.375,-.184,.0515,-.0799,-.663
2020,3,12,47,-.0613,-.15,-.0116,-.00436,.182,-.073,.0607,-.0191,-.0137,-.255
2020,2,11,47,-.0561,.0332,-.0259,-.00321,.0191,-.0421,.00215,-.0334,-.0226,-.101
2020,4,21,47,-.35,-.697,.0119,-.0784,.214,-.272,-.205,.102,-.0393,-.625
2020,6,5,47,-.143,-.454,.00189,.158,.086,-.0375,-.107,.0536,-.0287,-.499
2020,3,5,47,-.042,-.0688,-.0327,.0179,.0338,-.0935,.0383,-.0563,-.0172,-.161
2020,5,28,47,-.172,-.504,.0296,.223,.0828,.0502,-.0587,.0931,-.0132,-.537
2020,4,30,47,-.356,-.732,-.0228,-.0265,.291,-.351,-.209,.0654,-.0748,-.649
2020,2,12,47,-.0499,.0329,-.0161,.0154,.0346,.0036,-.0066,-.022,-.0118,-.0926
2020,4,20,47,-.371,-.695,.00222,-.135,.179,-.24,-.224,.101,-.0544,-.629
2020,3,26,47,-.565,-.74,-.22,-.406,.204,-.398,-.263,-.2,-.233,-.582
2020,5,12,47,-.253,-.631,.00134,.058,.156,-.127,-.142,.0595,-.0305,-.579
2020,4,12,47,-.541,-.765,-.234,-.339,.0806,-.487,-.279,-.2,-.258,-.674
2020,6,10,47,-.12,-.452,.0405,.196,.111,-.00274,-.0866,.0933,.0118,-.445
2020,4,18,47,-.412,-.707,-.0099,-.121,.235,-.255,-.252,.0956,-.0709,-.658
2020,2,24,47,-.0713,-.0683,-.0751,-.0841,-.0733,-.106,.0182,-.0964,-.0663,-.129
2020,4,14,47,-.493,-.734,-.127,-.266,.185,-.356,-.265,-.0601,-.168,-.663
2020,5,13,47,-.248,-.61,.00503,.0687,.151,-.119,-.129,.0671,-.0316,-.578
2020,6,3,47,-.141,-.431,.011,.171,.0787,-.0505,-.0985,.0735,-.0284,-.493
2020,2,4,47,.029,-.0154,.0323,.0384,.0775,.0536,.0339,.0342,.0305,.0275
2020,5,16,47,-.226,-.508,-.00596,.0829,.0922,-.0806,-.115,.0554,-.0453,-.564
2020,3,29,47,-.564,-.76,-.26,-.422,.0479,-.462,-.312,-.238,-.273,-.617
2020,5,18,47,-.238,-.485,.0107,.153,.154,-.0673,-.0884,.0701,-.028,-.583
2020,5,29,47,-.167,-.506,.0255,.221,.0674,.0264,-.0751,.0872,-.0145,-.528
2020,6,2,47,-.14,-.427,.0191,.19,.0837,-.0446,-.0917,.0781,-.0171,-.49
2020,5,14,47,-.239,-.6,.00992,.0755,.146,-.0944,-.122,.0745,-.029,-.572
2020,3,1,47,-.0391,.0141,.0111,.0612,.0595,-.0237,.0418,.00137,.0177,-.1
2020,3,21,47,-.416,-.533,-.0964,-.262,.475,-.212,-.11,-.0708,-.118,-.46
2020,2,15,47,-.0287,.0626,-.00942,.0245,.00811,-.000103,.000806,-.00363,-.0159,-.0906
2020,3,28,47,-.572,-.773,-.254,-.423,.0797,-.451,-.299,-.233,-.267,-.603
2020,3,15,47,-.154,-.297,-.00081,-.0444,.4,-.0664,.0387,-.00343,-.00355,-.291
2020,2,8,47,-.0348,.0346,-.0212,-.0194,.0108,-.031,.0474,-.0327,-.0196,-.092
2020,1,29,47,.0106,.0269,-.0177,-.0014,-.0504,.0122,-.00422,-.016,-.0211,-.056
2020,4,10,47,-.536,-.754,-.211,-.305,.127,-.487,-.249,-.179,-.235,-.651
2020,4,22,47,-.351,-.69,-.00945,-.107,.184,-.319,-.199,.0755,-.0599,-.625
2020,3,13,47,-.0811,-.202,.013,.0165,.308,-.0789,.0693,.006,.0123,-.256
2020,4,3,47,-.541,-.726,-.204,-.352,.156,-.505,-.282,-.169,-.226,-.601
2020,4,11,47,-.53,-.747,-.206,-.302,.148,-.486,-.251,-.173,-.23,-.655
2020,5,11,47,-.237,-.616,.0088,.0509,.164,-.155,-.137,.0737,-.0284,-.585
2020,5,21,47,-.202,-.51,.00962,.182,.14,-.0455,-.108,.0617,-.0195,-.585
2020,2,28,47,-.0562,-.00317,-.029,-.0327,-.013,-.0428,.023,-.0445,-.0194,-.119
2020,4,17,47,-.429,-.708,-.0304,-.154,.233,-.24,-.252,.069,-.0886,-.657
2020,4,29,47,-.366,-.748,-.0416,-.0338,.278,-.355,-.221,.0453,-.0936,-.658
2020,4,15,47,-.465,-.728,-.0846,-.213,.227,-.292,-.26,-.00525,-.131,-.665
2020,3,3,47,-.0405,-.0295,-.0000857,.0441,.0591,-.0267,.0351,-.0116,.00788,-.127
2020,5,19,47,-.218,-.486,.0119,.167,.148,-.0648,-.0738,.069,-.0266,-.588
2020,3,7,47,-.0443,-.0736,-.0351,.00885,.033,-.0935,.047,-.0499,-.0308,-.209
2020,5,23,47,-.187,-.517,.0198,.198,.137,-.0344,-.106,.0747,-.0105,-.577
2020,1,27,47,-.0207,-.0572,-.0259,-.0185,-.017,-.00752,.00326,-.0263,-.0296,-.082
2020,5,3,47,-.316,-.661,-.0041,.00137,.266,-.33,-.194,.0721,-.046,-.598
2020,2,14,47,-.0475,.0904,-.014,.0177,.00936,.0106,-.00542,-.00993,-.0187,-.112
2020,5,4,47,-.304,-.646,-.00244,-.0182,.238,-.303,-.19,.0702,-.0414,-.589
2020,5,17,47,-.238,-.493,-.00344,.0972,.0989,-.0804,-.108,.0548,-.0409,-.572
