statefips,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
29,2020,3,17,-.0406,-.0634,-.0516,-.0307,-.0518,-.00146,-.0479,-.0365,-.0377
29,2020,3,18,-.0469,-.0688,-.0606,-.0285,-.0556,-.0323,-.0523,-.0436,-.045
29,2020,3,19,-.0546,-.0752,-.0703,-.0266,-.0592,-.0745,-.0584,-.0523,-.0527
29,2020,3,20,-.0642,-.0802,-.0805,-.0262,-.0621,-.134,-.0656,-.0637,-.0618
29,2020,3,21,-.0749,-.0795,-.0913,-.0375,-.0638,-.199,-.0747,-.0755,-.073
29,2020,3,22,-.0836,-.0789,-.0994,-.0488,-.0654,-.246,-.0818,-.0853,-.0817
29,2020,3,23,-.092,-.0782,-.11,-.0601,-.0671,-.282,-.0906,-.093,-.0908
29,2020,3,24,-.101,-.0772,-.122,-.0723,-.0689,-.321,-.0997,-.102,-.1
29,2020,3,25,-.11,-.0762,-.134,-.0854,-.0703,-.355,-.107,-.111,-.11
29,2020,3,26,-.118,-.0745,-.144,-.0989,-.0721,-.383,-.114,-.119,-.12
29,2020,3,27,-.125,-.0701,-.153,-.111,-.0746,-.406,-.122,-.126,-.129
29,2020,3,28,-.135,-.0768,-.166,-.119,-.0793,-.423,-.131,-.136,-.142
29,2020,3,29,-.145,-.0836,-.177,-.126,-.084,-.433,-.139,-.146,-.154
29,2020,3,30,-.155,-.0903,-.188,-.134,-.0887,-.445,-.147,-.156,-.166
29,2020,3,31,-.164,-.097,-.2,-.141,-.0933,-.455,-.155,-.166,-.178
29,2020,4,1,-.174,-.104,-.21,-.149,-.0978,-.464,-.164,-.175,-.189
29,2020,4,2,-.183,-.111,-.22,-.155,-.103,-.474,-.172,-.184,-.2
29,2020,4,3,-.194,-.122,-.233,-.166,-.108,-.482,-.181,-.196,-.214
29,2020,4,4,-.206,-.134,-.243,-.183,-.118,-.488,-.192,-.207,-.228
29,2020,4,5,-.217,-.147,-.254,-.2,-.128,-.491,-.202,-.218,-.243
29,2020,4,6,-.229,-.159,-.265,-.217,-.138,-.497,-.213,-.228,-.259
29,2020,4,7,-.241,-.171,-.274,-.235,-.148,-.506,-.224,-.24,-.274
29,2020,4,8,-.252,-.184,-.284,-.252,-.158,-.512,-.234,-.252,-.289
29,2020,4,9,-.263,-.196,-.293,-.269,-.167,-.518,-.243,-.263,-.303
29,2020,4,10,-.274,-.208,-.301,-.283,-.176,-.525,-.254,-.273,-.315
29,2020,4,11,-.283,-.218,-.312,-.291,-.178,-.531,-.261,-.282,-.327
29,2020,4,12,-.293,-.228,-.323,-.299,-.18,-.547,-.269,-.292,-.341
29,2020,4,13,-.301,-.238,-.331,-.308,-.182,-.549,-.275,-.3,-.352
29,2020,4,14,-.308,-.248,-.339,-.315,-.184,-.55,-.281,-.307,-.364
29,2020,4,15,-.316,-.257,-.347,-.323,-.187,-.549,-.287,-.314,-.376
29,2020,4,16,-.323,-.266,-.355,-.332,-.19,-.548,-.293,-.321,-.387
29,2020,4,17,-.329,-.274,-.362,-.338,-.193,-.548,-.298,-.327,-.398
29,2020,4,18,-.333,-.278,-.364,-.341,-.199,-.547,-.302,-.332,-.4
29,2020,4,19,-.336,-.281,-.364,-.344,-.205,-.536,-.306,-.335,-.4
29,2020,4,20,-.34,-.284,-.365,-.347,-.21,-.535,-.31,-.339,-.402
29,2020,4,21,-.344,-.287,-.367,-.351,-.216,-.533,-.314,-.344,-.405
29,2020,4,22,-.348,-.29,-.368,-.354,-.222,-.531,-.317,-.348,-.406
29,2020,4,23,-.351,-.293,-.369,-.357,-.227,-.529,-.321,-.352,-.408
29,2020,4,24,-.355,-.296,-.37,-.362,-.232,-.525,-.326,-.355,-.41
29,2020,4,25,-.356,-.297,-.373,-.363,-.235,-.52,-.327,-.357,-.412
29,2020,4,26,-.358,-.298,-.374,-.364,-.239,-.518,-.329,-.358,-.414
29,2020,4,27,-.36,-.299,-.375,-.365,-.242,-.514,-.331,-.36,-.415
29,2020,4,28,-.361,-.299,-.375,-.365,-.245,-.508,-.333,-.361,-.416
29,2020,4,29,-.363,-.301,-.375,-.365,-.248,-.504,-.335,-.363,-.417
29,2020,4,30,-.364,-.302,-.375,-.366,-.251,-.498,-.336,-.364,-.419
29,2020,5,1,-.365,-.305,-.375,-.363,-.255,-.489,-.336,-.365,-.421
29,2020,5,2,-.365,-.308,-.374,-.361,-.257,-.486,-.335,-.365,-.423
29,2020,5,3,-.366,-.31,-.373,-.36,-.258,-.485,-.335,-.366,-.425
29,2020,5,4,-.365,-.313,-.37,-.358,-.259,-.477,-.334,-.365,-.426
29,2020,5,5,-.364,-.316,-.368,-.355,-.26,-.464,-.333,-.364,-.427
29,2020,5,6,-.363,-.318,-.364,-.353,-.262,-.45,-.331,-.362,-.427
29,2020,5,7,-.361,-.32,-.36,-.351,-.264,-.436,-.329,-.36,-.427
29,2020,5,8,-.359,-.32,-.355,-.35,-.265,-.419,-.327,-.359,-.426
29,2020,5,9,-.357,-.32,-.349,-.35,-.268,-.401,-.326,-.356,-.422
29,2020,5,10,-.357,-.319,-.348,-.349,-.271,-.393,-.327,-.355,-.42
29,2020,5,11,-.356,-.318,-.344,-.349,-.274,-.387,-.327,-.354,-.418
29,2020,5,12,-.355,-.317,-.34,-.349,-.278,-.383,-.327,-.353,-.417
29,2020,5,13,-.355,-.317,-.337,-.349,-.281,-.376,-.327,-.352,-.416
29,2020,5,14,-.355,-.316,-.335,-.349,-.284,-.37,-.328,-.352,-.416
29,2020,5,15,-.354,-.315,-.333,-.349,-.287,-.36,-.329,-.351,-.416
29,2020,5,16,-.353,-.315,-.33,-.346,-.285,-.351,-.326,-.35,-.416
29,2020,5,17,-.351,-.314,-.326,-.344,-.283,-.342,-.323,-.349,-.414
29,2020,5,18,-.35,-.314,-.322,-.342,-.281,-.336,-.32,-.349,-.411
29,2020,5,19,-.347,-.314,-.318,-.34,-.279,-.322,-.318,-.347,-.408
29,2020,5,20,-.345,-.313,-.315,-.337,-.277,-.308,-.315,-.345,-.405
29,2020,5,21,-.342,-.31,-.312,-.335,-.275,-.295,-.312,-.343,-.4
29,2020,5,22,-.34,-.309,-.308,-.333,-.273,-.284,-.311,-.341,-.395
29,2020,5,23,-.339,-.305,-.305,-.332,-.274,-.271,-.31,-.34,-.392
29,2020,5,24,-.339,-.301,-.306,-.331,-.275,-.264,-.311,-.34,-.391
29,2020,5,25,-.343,-.296,-.317,-.329,-.276,-.277,-.316,-.344,-.394
29,2020,5,26,-.339,-.296,-.305,-.329,-.276,-.264,-.311,-.34,-.39
29,2020,5,27,-.339,-.292,-.304,-.328,-.276,-.262,-.311,-.34,-.389
29,2020,5,28,-.338,-.289,-.299,-.326,-.277,-.261,-.309,-.34,-.387
29,2020,5,29,-.337,-.286,-.298,-.323,-.278,-.256,-.308,-.339,-.387
29,2020,5,30,-.339,-.287,-.3,-.329,-.285,-.251,-.31,-.341,-.388
30,2020,1,1,.,.,.,.,.,.,.,.,.
30,2020,1,2,.,.,.,.,.,.,.,.,.
30,2020,1,3,.,.,.,.,.,.,.,.,.
30,2020,1,4,.,.,.,.,.,.,.,.,.
30,2020,1,5,.,.,.,.,.,.,.,.,.
30,2020,1,6,.,.,.,.,.,.,.,.,.
30,2020,1,7,.,.,.,.,.,.,.,.,.
30,2020,1,8,-.0266,.,.00917,-.0204,-.0612,-.0311,-.0717,-.0108,.
30,2020,1,9,-.0237,.,.00917,-.0427,-.057,-.02,-.0726,-.00694,.
30,2020,1,10,-.0203,.,.00738,-.0649,-.0506,-.0125,-.0748,-.00191,.
30,2020,1,11,-.0183,.,.00917,-.0575,-.0464,-.0185,-.0724,.0000965,.
30,2020,1,12,-.0161,.,.0105,-.0501,-.0422,-.0213,-.0693,.00187,.
30,2020,1,13,-.0144,.,.00828,-.0427,-.038,-.0185,-.0672,.00328,.
30,2020,1,14,-.0115,.,.0105,-.0353,-.0338,-.0188,-.0609,.00518,.
30,2020,1,15,-.00822,.,.0119,-.0353,-.0295,-.013,-.0519,.0064,.
30,2020,1,16,-.00474,.,.0145,-.0353,-.0232,-.0117,-.0399,.00696,.
30,2020,1,17,-.00363,.,.0136,-.0353,-.0232,-.00847,-.0304,.00511,.
30,2020,1,18,-.00463,.,.00649,-.0278,-.019,-.0037,-.0209,.000544,.
30,2020,1,19,-.00475,.,.0038,-.0204,-.0148,-.00144,-.0124,-.00254,.
30,2020,1,20,-.00533,.,.000224,-.013,-.0105,-.0032,-.00217,-.00689,.
30,2020,1,21,-.00378,.,-.00201,-.013,-.00844,.00333,-.00192,-.00486,.
30,2020,1,22,-.00344,.,-.00783,.00186,0,.00684,.00967,-.00823,.
30,2020,1,23,-.0031,.,-.0119,.0167,.00633,.0096,.0163,-.00998,.
30,2020,1,24,-.000679,.,-.0101,.0315,.0148,.0149,.024,-.00919,.
30,2020,1,25,.0039,.,-.00962,.0315,.0232,.0184,.0323,-.00578,.
30,2020,1,26,.00798,.,-.0105,.0315,.0316,.0189,.0411,-.00308,.
30,2020,1,27,.0126,.,-.0114,.039,.0443,.0214,.0585,-.00267,.
30,2020,1,28,.0156,.,-.00917,.039,.0485,.0171,.0633,-.000124,.
30,2020,1,29,.0196,.,-.00246,.0464,.0506,.0119,.0671,.0039,.
30,2020,1,30,.0232,.,-.00112,.0538,.0527,.0114,.0688,.00832,.
30,2020,1,31,.0252,.,-.00738,.0612,.0549,.00785,.071,.0104,.
30,2020,2,1,.0264,.,-.0101,.0686,.0527,.0076,.0693,.0127,.
30,2020,2,2,.0275,.,-.0136,.0761,.0506,.0081,.0677,.0146,.
30,2020,2,3,.0286,.,-.0159,.0835,.0485,.00559,.0685,.0157,.
30,2020,2,4,.03,.,-.0145,.0909,.0464,.00684,.0669,.018,.
