year,month,day_endofweek,statefips,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jz2,bg_posts_jz3,bg_posts_jz4,bg_posts_jz5
2020,5,15,37,-.352,-.39,-.39,-.439,-.272,-.386,-.328,-.36,-.353,-.385,-.216
2020,5,22,38,-.37,-.339,-.269,-.466,-.416,-.448,-.0833,-.385,-.314,-.371,-.535
2020,4,17,38,-.241,-.423,-.217,-.148,-.46,-.0307,.278,-.0681,-.278,-.353,-.463
2020,2,7,38,-.183,-.171,.258,.0492,-.198,-.411,-.167,-.194,-.165,-.185,-.483
2020,1,17,38,.435,.0604,.526,.274,.63,.669,.528,.496,.551,.347,.651
2020,5,1,38,-.518,-.622,-.563,-.522,-.531,-.791,-.472,-.486,-.488,-.571,-.575
2020,1,24,38,-.267,-.15,-.171,-.269,-.418,-.313,-.0833,-.296,-.31,-.2,-.381
2020,2,21,38,.00324,.396,.431,.208,-.252,-.436,-.0278,-.029,.00857,.0863,-.299
2020,1,10,38,-.0421,.365,-.134,-.0164,-.223,-.0307,-.306,.0443,-.121,-.0262,-.0691
2020,3,13,38,-.268,-.0236,-.156,-.0913,-.437,-.399,-.0833,-.276,-.34,-.164,-.56
2020,2,28,38,-.0502,.281,.243,-.251,-.0588,-.0675,.278,-.111,-.0116,-.0671,-.023
2020,3,27,38,.0054,.207,.0772,.105,.0878,-.178,.194,.0545,-.0459,-.0109,-.0895
2020,5,29,38,-.461,-.381,-.269,-.4,-.593,-.411,-.194,-.392,-.554,-.381,-.678
2020,3,20,38,-.332,-.0866,-.473,-.279,-.311,-.497,-.306,-.385,-.328,-.259,-.524
2020,4,3,38,-.212,-.0236,-.134,.0679,-.221,-.607,-.167,-.376,-.0903,-.116,-.35
2020,4,24,38,-.434,-.37,-.623,-.129,-.466,-.632,-.306,-.494,-.447,-.366,-.468
2020,6,5,38,-.375,-.255,-.262,-.335,-.479,.129,-.111,-.307,-.482,-.282,-.565
2020,4,10,38,-.326,-.391,-.427,-.0539,-.304,-.656,-.5,-.368,-.26,-.318,-.309
2020,6,12,38,-.226,-.433,.115,-.0632,-.275,-.0429,.111,-.177,-.183,-.243,-.54
2020,2,14,38,-.207,.428,-.209,-.0351,-.402,-.313,-.222,-.157,-.324,-.121,-.509
2020,5,15,38,-.452,-.486,-.435,-.55,-.427,-.607,-.361,-.453,-.385,-.563,-.57
2020,1,31,38,-.226,-.276,-.33,.0117,-.188,-.325,-.139,-.315,-.183,-.121,-.294
2020,5,8,38,-.365,-.318,-.315,-.41,-.446,-.583,-.0278,-.382,-.334,-.341,-.575
2020,3,6,38,-.0594,.27,-.0584,.18,-.113,-.092,.306,-.126,-.167,.00192,-.125
2020,1,10,39,-.149,.0502,.0479,-.0927,-.572,.139,.0449,.0453,-.305,-.0559,-.47
2020,5,29,39,-.428,-.415,-.391,-.413,-.66,-.157,.0204,-.263,-.496,-.456,-.682
2020,3,27,39,-.33,-.278,-.185,-.246,-.616,-.372,-.142,-.216,-.429,-.228,-.606
2020,6,5,39,-.11,.00552,-.0568,-.0403,-.444,-.0394,.3,.141,-.179,-.142,-.496
2020,3,6,39,-.201,-.0494,-.0546,-.105,-.442,-.0532,.117,-.134,-.264,-.111,-.475
2020,4,3,39,-.253,-.153,-.197,-.0833,-.535,-.492,-.222,-.118,-.335,-.188,-.486
2020,1,24,39,.396,-.116,-.108,-.148,.63,-.13,.0497,.0251,.551,.0648,.651
2020,4,10,39,-.433,-.398,-.268,-.457,-.65,-.584,-.377,-.283,-.515,-.433,-.59
2020,2,14,39,-.0317,.22,.259,.12,-.329,.09,.0912,.036,-.141,.164,-.343
2020,5,22,39,-.39,-.333,-.405,-.381,-.585,-.257,-.137,-.251,-.408,-.424,-.62
2020,1,31,39,-.205,-.0264,-.0227,.0711,-.489,-.192,-.188,-.161,-.298,.0265,-.493
2020,5,8,39,-.47,-.433,-.393,-.52,-.713,-.235,-.104,-.243,-.583,-.527,-.707
2020,2,7,39,-.139,-.126,.02,.072,-.348,.142,.128,.00937,-.187,-.115,-.438
2020,2,21,39,-.115,.0732,-.00562,-.0808,-.326,-.18,-.116,-.0638,-.131,-.0344,-.329
2020,4,24,39,-.547,-.539,-.453,-.403,-.763,-.474,-.509,-.468,-.644,-.442,-.744
2020,3,13,39,-.171,-.0092,.101,-.0557,-.463,.0677,.122,-.121,-.219,-.0334,-.489
2020,4,17,39,-.352,-.4,-.325,-.238,-.59,-.335,-.199,-.137,-.491,-.377,-.516
2020,5,15,39,-.438,-.361,-.348,-.461,-.654,-.32,-.032,-.287,-.529,-.475,-.611
2020,6,12,39,-.269,-.189,-.163,-.26,-.574,-.155,-.0662,-.00736,-.361,-.319,-.643
2020,3,20,39,-.0843,.0674,.0968,-.0729,-.389,-.0295,.218,.0267,-.125,-.0517,-.367
2020,1,17,39,-.042,.0919,.0825,.17,-.319,.183,.0937,.0903,-.0581,-.0354,-.317
2020,2,28,39,-.118,.0943,.0645,-.118,-.356,.0168,.0546,-.0639,-.152,-.0419,-.292
2020,5,1,39,-.405,-.418,-.419,-.475,-.678,-.445,-.264,-.179,-.51,-.433,-.675
2020,3,27,40,.00609,-.234,.12,-.0376,.26,-.272,-.153,-.0428,.155,-.0973,.0692
2020,1,10,40,-.0332,.0268,.02,-.0702,-.0969,-.055,.125,.00332,-.0542,-.0801,-.0563
2020,1,17,40,.141,.0268,.154,.12,.242,.0786,.26,.0836,.17,.114,.337
2020,5,29,40,-.313,-.517,-.126,-.345,-.415,-.166,-.112,-.243,-.363,-.361,-.459
2020,3,13,40,.025,.146,.158,.022,.0194,.215,.121,-.0146,-.00451,.0561,.0616
2020,2,28,40,.0352,.0248,.166,.00921,.107,-.0717,-.0838,-.0282,.00497,.0219,.245
2020,2,21,40,-.0973,-.0258,-.122,-.118,-.124,-.275,-.141,-.139,-.133,-.0542,.0117
2020,5,1,40,-.285,-.337,-.309,-.481,-.276,-.197,-.247,-.253,-.233,-.404,-.26
