year,month,day,cityid,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws
2020,3,4,43,-.0466,.0114,-.0172,-.0219,.103,-.053,-.0297
2020,3,4,44,-.168,.684,.063,-.0181,-.177,.355,.104
2020,3,4,45,-.038,.147,.00189,-.217,.0693,.62,-.212
2020,3,4,46,-.045,-.0737,.0456,-.0298,.0638,-.066,-.00439
2020,3,4,47,-.0244,.0064,.0146,.0299,.0583,.0473,-.248
2020,3,4,48,-.0397,-.0119,-.0149,.0304,.134,-.0262,-.175
2020,3,4,49,-.131,-.144,-.0275,.0017,.197,-.113,-.194
2020,3,4,50,-.0603,-.0281,.0156,-.142,.314,-.0286,-.135
2020,3,4,51,.0375,-.00454,.00214,.0494,.0728,-.119,-.216
2020,3,4,52,-.137,.0917,-.00916,.0281,.244,.0319,-.147
2020,3,4,53,.059,-.252,.0388,.194,.0239,-.0119,-.139
2020,3,5,1,-.0159,-.0549,.0236,-.0313,.221,.0154,-.102
2020,3,5,2,-.0414,-.0456,.0227,-.0146,.161,-.0267,-.112
2020,3,5,3,-.0897,-.0547,-.0611,-.0317,.0823,.0172,-.128
2020,3,5,4,-.00502,.042,.0138,.0262,.191,-.0421,-.101
2020,3,5,5,-.0816,-.129,.00674,-.0259,.181,.000747,-.14
2020,3,5,6,-.0694,-.154,-.0234,-.0394,.174,-.0528,-.126
2020,3,5,7,-.0256,-.0741,.0234,.00465,.181,.0202,-.122
2020,3,5,8,-.0289,.139,-.00459,-.108,.374,.0528,-.117
2020,3,5,9,-.163,.0314,-.0176,-.0731,.389,.136,-.198
2020,3,5,10,-.0101,-.0493,.0101,.005,.152,.0602,-.0807
2020,3,5,11,.0154,-.158,-.00519,-.00137,.171,-.147,-.233
2020,3,5,12,-.0796,-.128,.02,-.0118,.308,-.00991,-.214
2020,3,5,13,-.0754,-.0325,-.0555,-.0232,.0928,.13,-.313
2020,3,5,14,-.0479,-.32,-.074,-.0351,-.00197,-.0352,-.121
2020,3,5,16,.0101,-.137,.0628,-.0147,.2,-.0361,-.0559
2020,3,5,17,-.0423,-.0452,.0139,.0028,.137,.0458,-.195
2020,3,5,19,-.0322,-.104,-.0551,-.0379,-.00621,-.0549,-.175
2020,3,5,20,-.00118,-.0764,-.012,.0762,.0688,-.227,-.209
2020,3,5,21,-.0774,-.22,.015,-.166,.317,-.0578,-.19
2020,3,5,22,-.0959,-.264,-.0342,-.111,.104,.0528,-.0845
2020,3,5,23,.0262,-.167,.0452,.115,.0995,.0345,.00807
2020,3,5,24,-.0788,-.117,.00658,.0377,.296,.00485,-.0447
2020,3,5,25,.0893,.313,-.0237,.0133,.228,-.153,-.136
2020,3,5,26,.0431,.0523,.0145,.0271,.032,.168,-.00998
2020,3,5,27,-.0442,-.514,-.138,-.19,.052,-.285,-.158
2020,3,5,28,-.0612,.0491,-.0391,.0219,.244,-.118,-.233
2020,3,5,29,-.0664,-.041,-.00399,.0346,.246,.0788,-.284
2020,3,5,30,-.0867,-.142,.0345,.261,.164,.335,-.331
2020,3,5,31,-.152,-.18,-.0517,.00841,.0904,-.0975,-.206
2020,3,5,32,-.106,-.0273,-.0284,-.134,.346,-.092,-.195
2020,3,5,33,-.0365,-.085,-.0103,-.00505,.117,.000963,-.0758
2020,3,5,34,-.0865,.0211,.0416,.0469,.137,-.0521,-.0918
2020,3,5,35,-.0574,-.126,-.00169,-.0261,.18,-.142,-.128
2020,3,5,36,-.0634,-.0817,-.0134,-.0187,.254,-.0572,-.00445
2020,3,5,37,-.0815,-.103,-.048,-.171,.0763,-.189,-.36
2020,3,5,38,-.105,-.0499,-.0346,.0474,.0939,.027,-.233
2020,3,5,39,-.0502,-.186,-.0205,-.0447,.19,-.0133,-.214
2020,3,5,40,-.117,-.0699,.0124,.0685,.0922,.019,-.0437
2020,3,5,41,-.0436,-.146,.0126,.0318,.2,-.0551,-.167
2020,3,5,42,-.022,-.0908,-.0147,.0263,.155,-.00512,-.22
2020,3,5,43,-.0481,-.0511,-.0357,-.0691,.069,-.0584,-.023
2020,3,5,44,-.275,.627,.072,.0298,-.127,.628,.162
2020,3,5,45,-.0607,.278,.00193,-.24,.13,.578,-.252
2020,3,5,46,-.0678,-.0367,.0795,-.0278,.0946,-.039,-.00571
2020,3,5,47,-.0424,-.018,.0131,.0546,.0886,.0764,-.229
2020,3,5,48,-.00991,-.0751,-.0289,.0353,.1,-.0383,-.199
2020,3,5,49,-.147,-.117,-.0246,-.00946,.175,-.0473,-.191
2020,3,5,50,-.0532,-.035,.0146,-.133,.326,-.00723,-.156
2020,3,5,51,.018,-.0998,-.011,.0166,.104,.0383,-.238
2020,3,5,52,-.143,.018,-.0107,-.0431,.229,.0617,-.144
2020,3,5,53,.0541,-.237,.0297,.169,.0293,-.0234,-.151
2020,3,6,1,-.0186,-.0419,.0241,-.0222,.235,.0355,-.0923
2020,3,6,2,-.0364,-.0819,.0126,-.027,.161,.000541,-.14
2020,3,6,3,-.0841,-.0689,-.077,-.0695,.0697,-.0375,-.15
2020,3,6,4,-.00795,.0223,-.00289,-.0105,.203,-.0689,-.142
2020,3,6,5,-.084,-.161,-.00672,-.0364,.156,.0169,-.15
2020,3,6,6,-.0668,-.17,-.0259,-.02,.195,.00937,-.0609
2020,3,6,7,-.0337,-.0872,.0229,-.0164,.179,.0347,-.079
2020,3,6,8,-.0307,.175,.0175,-.078,.388,.049,-.133
2020,3,6,9,-.17,-.023,-.0361,-.118,.39,.129,-.23
2020,3,6,10,.00187,-.0964,-.0134,.00897,.142,-.0288,-.09
2020,3,6,11,.0302,-.189,.0016,.0306,.158,-.0915,-.222
2020,3,6,12,-.0761,-.148,.00639,-.0183,.311,-.061,-.197
2020,3,6,13,-.12,-.0422,-.0755,-.0512,.0955,.0978,-.293
2020,3,6,14,-.0536,-.309,-.0709,-.0365,.00373,-.0238,-.119
2020,3,6,16,-.00197,-.126,.0649,.0161,.199,-.0146,-.0502
2020,3,6,17,-.0543,-.151,-.0133,-.0303,.128,.0437,-.22
2020,3,6,19,-.0338,-.0932,-.0536,-.0382,-.00551,-.0456,-.178
2020,3,6,20,-.0146,.012,.00829,.0496,.114,-.205,-.199
2020,3,6,21,-.0953,-.209,.00638,-.148,.322,-.0334,-.171
2020,3,6,22,-.108,-.287,-.0495,-.0828,.0956,.173,-.116
2020,3,6,23,.0269,-.162,.0419,.118,.0773,.162,.0113
2020,3,6,24,-.121,-.155,-.0186,.0352,.271,.0474,-.0455
2020,3,6,25,.0578,.23,-.0318,.0365,.269,-.159,-.225
2020,3,6,26,.0322,-.0559,-.0193,-.0249,-.00414,.115,-.0569
2020,3,6,27,-.0816,-.513,-.152,-.178,.0893,-.339,-.14
2020,3,6,28,-.0568,.00434,-.0301,-.00134,.236,-.11,-.225
2020,3,6,29,-.0992,-.0799,-.029,.0436,.275,.0654,-.288
2020,3,6,30,-.126,-.147,-.0168,.276,.187,.25,-.389
2020,3,6,31,-.125,-.0162,-.0513,.00701,.11,-.133,-.212
2020,3,6,32,-.118,-.0685,-.0521,-.113,.319,-.0891,-.209
2020,3,6,33,-.026,-.124,-.0351,-.0266,.0855,-.0222,-.145
2020,3,6,34,-.0834,-.00696,.0235,.0274,.15,-.0609,-.0408
2020,3,6,35,-.0697,-.143,-.0109,-.00597,.17,-.109,-.106
