year,month,day_endofweek,countyfips,spend_all
2020,1,12,18083,.0456
2020,1,12,18085,.029
2020,1,12,18087,-.0814
2020,1,12,18089,.0127
2020,1,12,18091,-.0277
2020,1,12,18095,.103
2020,1,12,18103,.0787
2020,1,12,18105,.00296
2020,1,12,18107,.0564
2020,1,12,18109,.0755
2020,1,12,18113,.0243
2020,1,12,18129,.0519
2020,1,12,18133,.0694
2020,1,12,18139,.151
2020,1,12,18141,-.0139
2020,1,12,18143,-.0512
2020,1,12,18147,.0412
2020,1,12,18151,.138
2020,1,12,18157,.00717
2020,1,12,18163,.021
2020,1,12,18167,.0272
2020,1,12,18173,-.000444
2020,1,12,18177,.084
2020,1,12,18179,.0667
2020,1,12,18181,.05
2020,1,12,18183,.13
2020,1,12,19011,-.126
2020,1,12,19013,-.0616
2020,1,12,19015,.147
2020,1,12,19017,-.00857
2020,1,12,19019,-.0949
2020,1,12,19023,-.166
2020,1,12,19027,-.247
2020,1,12,19029,-.021
2020,1,12,19031,.03
2020,1,12,19033,-.0243
2020,1,12,19041,.000723
2020,1,12,19045,-.0101
2020,1,12,19047,-.0435
2020,1,12,19049,-.0182
2020,1,12,19055,-.12
2020,1,12,19059,-.0458
2020,1,12,19061,.0303
2020,1,12,19075,.0411
2020,1,12,19083,-.354
2020,1,12,19087,-.00718
2020,1,12,19097,-.0651
2020,1,12,19099,-.0896
2020,1,12,19103,-.0134
2020,1,12,19105,-.152
2020,1,12,19111,-.154
2020,1,12,19113,-.00491
2020,1,12,19115,.025
2020,1,12,19121,-.138
2020,1,12,19125,-.0514
2020,1,12,19127,-.0207
2020,1,12,19129,-.00757
2020,1,12,19139,-.00533
2020,1,12,19149,.263
2020,1,12,19153,-.038
2020,1,12,19155,.104
2020,1,12,19157,-.262
2020,1,12,19163,-.0304
2020,1,12,19167,-.0392
2020,1,12,19169,-.0264
2020,1,12,19171,.0997
2020,1,12,19179,-.0666
2020,1,12,19181,.0618
2020,1,12,19187,.114
2020,1,12,19193,.0231
2020,1,12,20015,-.0107
2020,1,12,20035,.0682
2020,1,12,20041,-.0154
2020,1,12,20045,.0419
2020,1,12,20051,.0191
2020,1,12,20057,-.00777
2020,1,12,20079,.00254
2020,1,12,20085,.0177
2020,1,12,20087,-.0384
2020,1,12,20091,.00651
2020,1,12,20099,-.133
2020,1,12,20103,.0275
2020,1,12,20109,.00737
2020,1,12,20111,.0138
