statefips,year,month,day_endofweek,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5
5,2021,5,7,.401,.,.,.,.,.,.0246,.282,.301,.468,.462,.711,.0466
5,2021,5,14,1.14,.,.,.,.,.,1.22,1.43,1.45,1.02,1.02,1.07,.935
5,2021,5,21,-.0566,.,.,.,.,.,-.0082,-.0458,-.0486,-.141,-.0789,.148,-.304
5,2021,5,28,.242,.,.,.,.,.,.516,.23,.208,.135,.217,.509,-.0677
5,2021,6,4,.753,.,.,.,.,.,1.02,.79,.773,.653,.705,1.14,.115
5,2021,6,11,-.0402,.,.,.,.,.,.213,-.0179,-.0352,-.212,-.0657,.261,-.262
5,2021,6,18,.35,.,.,.,.,.,.393,.294,.287,.119,.302,.627,.191
5,2021,6,25,.349,.,.,.,.,.,.336,.479,.489,.27,.247,.481,-.184
5,2021,7,2,.257,.,.,.,.,.,-.041,.523,.565,.133,.0649,.204,-.314
5,2021,7,9,.281,.,.,.,.,.,.385,.341,.337,.107,.229,.462,.129
5,2021,7,16,.149,.,.,.,.,.,.27,.127,.116,.0137,.143,.514,-.164
5,2021,7,23,-.108,.,.,.,.,.,-.23,-.119,-.11,-.137,-.128,.0661,-.423
5,2021,7,30,.0347,.,.,.,.,.,-.0902,.221,.244,-.0774,-.118,.0611,-.501
5,2021,8,6,.171,.,.,.,.,.,1.13,.255,.189,.249,.111,.227,-.39
5,2021,8,13,-.0184,.,.,.,.,.,.213,-.0288,-.0468,-.0376,-.023,.215,-.374
5,2021,8,20,-.0351,.,.,.,.,.,-.27,-.047,-.0303,-.0243,-.071,.0909,-.439
5,2021,8,27,.0803,.,.,.,.,.,.0574,.0418,.0407,-.0509,.0448,.302,-.154
