year,month,day,statefips,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,8,16,22,-.138,-.218,-.112,-.0371,-.131,-.0969,-.104,-.294
2020,8,16,23,-.00643,-.181,.0354,.084,-.0327,.0516,-.0604,-.0421
2020,8,16,24,-.0831,-.261,-.0582,.00585,-.116,-.0596,-.112,-.165
2020,8,16,25,-.069,-.208,-.0736,-.00727,-.0813,-.00821,-.129,-.156
2020,8,16,26,-.0727,-.219,-.0354,.0255,-.0685,-.0538,-.112,-.152
2020,8,16,27,-.0717,-.216,-.0585,-.0026,-.0571,-.0537,-.0938,-.21
2020,8,16,28,-.0504,-.121,.0166,.0246,-.0771,-.0426,-.0883,-.0595
2020,8,16,29,-.0308,-.119,-.00432,.0458,-.0168,-.0482,-.0285,-.13
2020,8,16,30,-.0394,-.0524,-.029,-.0499,-.0498,-.0597,.0277,.0116
2020,8,16,31,-.0348,-.167,-.000174,.0265,-.0171,-.0535,-.06,-.152
2020,8,16,32,-.106,-.257,-.0651,.00708,-.101,-.111,-.00637,-.231
2020,8,16,33,-.0421,-.188,-.0142,.0367,-.0794,-.0331,-.0987,-.0669
2020,8,16,34,-.0918,-.2,-.0782,-.0231,-.0802,-.0541,-.154,-.156
2020,8,16,35,-.0984,-.175,-.0681,-.000924,-.0644,-.0553,-.0563,-.34
2020,8,16,36,-.103,-.198,-.105,-.0474,-.109,-.0633,-.136,-.226
2020,8,16,37,-.0805,-.199,-.0399,.013,-.0725,-.0843,-.0296,-.202
2020,8,16,38,-.115,-.106,-.141,-.0609,-.167,-.157,-.0569,.
2020,8,16,39,-.0548,-.127,-.0295,.00876,-.0511,-.0431,-.0567,-.135
2020,8,16,40,-.0617,-.151,-.0316,.00625,-.0976,-.0141,-.047,-.13
2020,8,16,41,-.0848,-.329,-.0421,-.00747,-.0741,-.101,-.0619,-.228
2020,8,16,42,-.0749,-.183,-.0511,.00574,-.0825,-.0274,-.0724,-.257
2020,8,16,44,-.0534,-.178,-.0337,.0158,-.0301,-.00507,-.0749,-.142
2020,8,16,45,-.0583,-.148,-.0263,.00348,-.0136,-.0609,-.0139,-.144
2020,8,16,46,-.0234,-.0506,-.0316,.,.,-.0918,.,-.0312
2020,8,16,47,-.0773,-.159,-.0557,-.00562,-.0838,-.0828,-.0344,-.176
2020,8,16,48,-.0849,-.187,-.0599,-.0139,-.0912,-.1,-.0302,-.233
2020,8,16,49,-.103,-.154,-.0909,-.0612,-.159,-.0704,-.0194,-.225
2020,8,16,50,-.146,-.3,-.13,-.0531,-.124,-.125,-.0561,-.309
2020,8,16,51,-.0726,-.182,-.0701,.000701,-.0734,-.0265,-.0887,-.242
2020,8,16,53,-.0622,-.146,-.0805,-.0217,-.0569,-.0483,-.129,-.146
2020,8,16,54,-.0905,-.129,-.0835,-.0275,-.114,-.14,-.0599,-.113
2020,8,16,55,-.0523,-.131,-.0322,.00976,-.0684,-.0216,-.05,-.118
2020,8,16,56,.00783,.0245,.00779,.,-.00404,.0306,.00491,.0849
2020,8,17,1,-.093,-.18,-.0571,-.0309,-.125,-.176,-.0672,-.144
2020,8,17,2,.0266,-.275,.114,.0122,.261,.3,.167,-.32
2020,8,17,4,-.0774,-.248,-.0275,-.00277,-.0667,-.0457,-.0592,-.293
2020,8,17,5,-.123,-.187,-.0618,.,-.0482,.0264,.,-.154
2020,8,17,6,-.106,-.28,-.109,-.0309,-.103,-.0735,-.101,-.288
2020,8,17,8,-.0433,-.155,-.033,-.00845,-.0894,-.0468,-.0414,-.108
2020,8,17,9,-.0713,-.149,-.0688,-.0228,-.111,-.0247,-.13,-.0907
2020,8,17,10,-.0565,-.139,-.058,.0247,-.0718,-.00341,-.0469,-.226
2020,8,17,11,-.125,-.16,-.197,-.0485,-.205,-.0327,-.105,-.445
2020,8,17,12,-.054,-.158,-.027,.0178,-.0458,-.0325,-.0522,-.182
2020,8,17,13,-.0593,-.155,-.0459,.0317,-.0572,-.0654,-.0647,-.17
2020,8,17,15,-.281,-.228,-.319,.,-.142,-.304,-.163,-.477
2020,8,17,16,-.0586,-.17,-.0159,.0227,-.0382,.099,-.053,-.302
2020,8,17,17,-.052,-.245,-.00441,-.000851,-.058,-.0297,-.0498,-.173
2020,8,17,18,-.0616,-.111,-.0511,-.00713,-.0023,-.0479,-.0265,-.106
2020,8,17,19,-.091,-.172,-.0708,-.0179,-.122,-.0442,-.0648,-.231
2020,8,17,20,-.0585,-.128,-.0349,-.034,-.052,.0163,-.059,-.0801
2020,8,17,21,-.0651,-.134,-.0388,-.00164,-.0973,-.0467,-.0444,-.0862
2020,8,17,22,-.137,-.216,-.112,-.038,-.131,-.0982,-.103,-.292
2020,8,17,23,-.00679,-.182,.0352,.0844,-.0335,.0518,-.0605,-.0416
2020,8,17,24,-.0825,-.261,-.0579,.00726,-.116,-.0587,-.112,-.167
2020,8,17,25,-.0681,-.208,-.0731,-.00545,-.0807,-.00638,-.129,-.156
2020,8,17,26,-.0724,-.22,-.0351,.0262,-.069,-.0534,-.112,-.152
2020,8,17,27,-.0717,-.216,-.0586,-.00249,-.0574,-.054,-.0938,-.211
2020,8,17,28,-.0496,-.12,.0181,.0238,-.0777,-.0416,-.0881,-.0565
2020,8,17,29,-.033,-.125,-.00507,.0453,-.0159,-.0497,-.0289,-.143
2020,8,17,30,-.0408,-.0507,-.0305,-.0549,-.0505,-.0613,.0285,.0115
2020,8,17,31,-.0344,-.168,.000416,.0275,-.0177,-.0533,-.0596,-.153
2020,8,17,32,-.105,-.255,-.0646,.00774,-.1,-.111,-.0064,-.229
2020,8,17,33,-.0419,-.189,-.0134,.0371,-.0792,-.0336,-.0992,-.067
2020,8,17,34,-.0915,-.201,-.0777,-.0221,-.0798,-.0534,-.154,-.156
2020,8,17,35,-.0975,-.175,-.0667,-.000854,-.0645,-.0542,-.0564,-.34
2020,8,17,36,-.102,-.199,-.105,-.0457,-.109,-.062,-.136,-.226
2020,8,17,37,-.0804,-.199,-.0402,.0136,-.0727,-.0843,-.0288,-.202
2020,8,17,38,-.116,-.106,-.143,-.0628,-.169,-.16,-.0533,.
2020,8,17,39,-.0546,-.127,-.029,.0095,-.0506,-.0435,-.056,-.135
2020,8,17,40,-.0619,-.151,-.032,.00648,-.0987,-.0138,-.0462,-.131
2020,8,17,41,-.084,-.329,-.0411,-.00617,-.0738,-.101,-.062,-.227
2020,8,17,42,-.0748,-.184,-.051,.00688,-.0825,-.0267,-.0722,-.258
2020,8,17,44,-.0529,-.179,-.0332,.0181,-.0291,-.00516,-.0746,-.143
2020,8,17,45,-.0582,-.148,-.026,.00322,-.0138,-.0608,-.0134,-.145
2020,8,17,46,-.0238,-.0521,-.0321,.,.,-.0936,.,-.0328
2020,8,17,47,-.0775,-.158,-.0563,-.00614,-.0834,-.0829,-.0343,-.178
2020,8,17,48,-.0848,-.187,-.0599,-.0138,-.0912,-.1,-.03,-.233
2020,8,17,49,-.104,-.152,-.0931,-.0627,-.162,-.0702,-.0198,-.225
2020,8,17,50,-.146,-.298,-.13,-.0533,-.124,-.124,-.0558,-.308
2020,8,17,51,-.0726,-.182,-.0707,.0014,-.0742,-.0264,-.0883,-.244
2020,8,17,53,-.0614,-.145,-.0803,-.0201,-.0566,-.0471,-.128,-.146
2020,8,17,54,-.0904,-.128,-.0834,-.0293,-.113,-.14,-.0611,-.112
2020,8,17,55,-.0524,-.132,-.0321,.0102,-.069,-.0212,-.0487,-.119
2020,8,17,56,.00752,.0217,.00662,.,-.00361,.0312,.00471,.0815
2020,8,18,1,-.0937,-.18,-.0583,-.0324,-.125,-.181,-.0666,-.144
2020,8,18,2,.0277,-.278,.116,.0137,.269,.3,.169,-.322
2020,8,18,4,-.0764,-.247,-.0264,-.00182,-.0665,-.0444,-.0581,-.293
2020,8,18,5,-.124,-.188,-.0622,.,-.0485,.0273,.,-.155
2020,8,18,6,-.105,-.28,-.108,-.0291,-.103,-.0718,-.1,-.289
2020,8,18,8,-.0436,-.156,-.0332,-.00882,-.0902,-.0478,-.042,-.109
