year,month,day,statefips,revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
2020,3,4,37,-.00982,.00514,-.0384,.00933,-.00591
2020,3,4,38,.0519,.15,.0332,.073,.0164
2020,3,4,39,-.026,-.0168,.0607,.0311,-.0881
2020,3,4,40,.0611,.06,-.0424,.112,.0936
2020,3,4,41,.0227,.0831,-.0771,.0673,.068
2020,3,4,42,-.0326,-.0267,-.057,.0648,-.0353
2020,3,4,44,.0641,.196,.0889,.0469,-.0329
2020,3,4,45,-.0286,-.0286,-.0843,.0192,-.0117
2020,3,4,46,.0525,.126,.,-.106,.11
2020,3,4,47,-.0763,-.0554,-.0545,-.0707,-.0884
2020,3,4,48,.0265,.0411,-.0233,.0935,-.0168
2020,3,4,49,-.02,-.0159,-.00923,-.0438,.0248
2020,3,4,50,-.0459,-.0559,-.164,.159,-.0187
2020,3,4,51,-.0344,.00205,-.015,-.0904,-.0339
2020,3,4,53,-.00741,.0835,-.0838,-.0567,-.015
2020,3,4,54,-.0755,-.0655,-.00813,.161,-.0732
2020,3,4,55,-.0132,-.011,-.0203,-.00381,-.000257
2020,3,4,56,-.00659,.00601,-.103,-.071,.0473
2020,3,5,1,-.103,-.17,-.0839,.0407,-.125
2020,3,5,2,-.0654,-.000694,.039,-.167,-.102
2020,3,5,4,-.0377,.0188,-.101,.0123,-.0911
2020,3,5,5,-.0313,-.0035,-.0627,.0437,-.037
2020,3,5,6,.0131,.0267,.0146,.0534,-.0437
2020,3,5,8,.0138,.04,-.0433,.0176,.00737
2020,3,5,9,.0214,.0906,-.0944,.0717,-.0489
2020,3,5,10,-.0981,-.138,-.11,.0513,-.12
2020,3,5,11,-.125,.0292,.0371,-.183,-.0306
2020,3,5,12,-.037,-.0428,.029,-.0313,-.0729
2020,3,5,13,-.042,-.0694,-.0626,.0134,-.00854
2020,3,5,15,-.109,-.0655,-.317,.2,-.139
2020,3,5,16,-.0234,.055,-.183,-.016,-.0192
2020,3,5,17,-.0486,-.012,-.0861,-.0266,-.0388
2020,3,5,18,-.1,-.0732,-.124,-.165,-.0778
2020,3,5,19,-.000891,.0107,.0221,-.0552,.0447
2020,3,5,20,-.0248,-.031,-.122,.108,.0171
2020,3,5,21,-.0617,-.00889,-.056,-.0773,-.00941
2020,3,5,22,-.0767,-.119,.0798,.133,-.207
2020,3,5,23,-.193,-.233,-.263,-.163,-.154
2020,3,5,24,-.0477,-.0129,-.0797,-.0757,-.0525
2020,3,5,25,.0136,.0426,.049,.0675,-.0468
2020,3,5,26,-.026,.0713,-.0239,-.0438,-.0196
2020,3,5,27,.0201,.133,.00441,-.0704,.0143
2020,3,5,28,-.139,-.135,-.0502,-.187,-.102
2020,3,5,29,-.0367,.0495,-.125,-.00255,-.0416
2020,3,5,30,.0252,.0637,.129,.00378,.0585
2020,3,5,31,.0673,.124,-.04,.0829,.0594
2020,3,5,32,-.0168,-.0559,.0453,-.0129,.0256
2020,3,5,33,.0207,.0665,.0762,.0498,-.0311
2020,3,5,34,-.0103,.0412,.0341,-.0868,-.0372
2020,3,5,35,.00463,.0744,-.0186,-.0266,-.0326
2020,3,5,36,-.019,.0184,-.0119,.0215,-.0451
2020,3,5,37,-.033,-.0232,-.0601,-.00779,-.0172
2020,3,5,38,.0222,.122,-.0763,.084,-.00531
2020,3,5,39,-.0387,-.0291,.0271,.0091,-.085
2020,3,5,40,.0363,.0372,-.0784,.0926,.0819
2020,3,5,41,.00717,.0685,-.103,.0672,.0621
2020,3,5,42,-.0312,-.0392,-.0318,.0631,-.031
2020,3,5,44,.048,.176,.134,-.00396,-.0356
2020,3,5,45,-.057,-.0617,-.127,.00258,-.0283
2020,3,5,46,.0656,.0843,.,.0464,.099
2020,3,5,47,-.0983,-.076,-.109,-.0727,-.093
2020,3,5,48,.00795,.0185,-.0485,.0682,-.032
2020,3,5,49,-.0338,-.0192,-.0164,-.0611,-.000333
2020,3,5,50,-.0326,-.0629,-.017,.152,-.0336
2020,3,5,51,-.0462,-.018,-.0282,-.102,-.0451
2020,3,5,53,-.0249,.0832,-.112,-.0709,-.032
2020,3,5,54,-.108,-.0821,-.0402,.0528,-.0665
2020,3,5,55,-.0297,-.0305,.0245,-.0209,-.0142
2020,3,5,56,-.0434,-.0192,-.0883,-.107,.00521
2020,3,6,1,-.118,-.182,-.08,.0145,-.141
2020,3,6,2,-.0722,-.0157,.00742,-.186,-.0922
2020,3,6,4,-.0561,-.00365,-.101,-.00531,-.129
2020,3,6,5,-.0466,-.0218,-.0997,-.00639,-.0483
2020,3,6,6,-.0113,.0139,.01,.00879,-.0818
2020,3,6,8,-.00518,.0197,-.0221,-.0245,-.0129
2020,3,6,9,-.0054,.0875,-.151,-.00628,-.0658
2020,3,6,10,-.1,-.11,-.112,-.0253,-.123
2020,3,6,11,-.156,.0102,-.0333,-.214,-.0503
2020,3,6,12,-.0584,-.0532,.00739,-.0588,-.0947
2020,3,6,13,-.0681,-.0888,-.0702,-.0391,-.0391
2020,3,6,15,-.111,-.0641,-.307,.158,-.152
2020,3,6,16,-.0425,.0189,-.195,-.013,-.0444
2020,3,6,17,-.0558,-.0222,-.0829,-.0561,-.0584
2020,3,6,18,-.105,-.0863,-.111,-.184,-.101
2020,3,6,19,-.00787,.0156,-.0159,-.0779,.00373
2020,3,6,20,-.0535,-.0587,-.147,.0536,-.00157
2020,3,6,21,-.0718,-.0195,-.0711,-.0993,-.0497
2020,3,6,22,-.1,-.124,.0758,.0886,-.228
2020,3,6,23,-.226,-.225,-.288,-.335,-.217
2020,3,6,24,-.0675,-.0132,-.0833,-.102,-.0635
