day,month,year,daily_spend_19_all,daily_spend_19_q1,daily_spend_19_q2,daily_spend_19_q3,daily_spend_19_q4
7,5,2020,.1,.271,.189,.107,-.0201
8,5,2020,.188,.403,.3,.192,.0424
9,5,2020,.00497,.189,.0987,.0125,-.118
10,5,2020,-.296,-.206,-.244,-.286,-.366
11,5,2020,.0196,.153,.0946,.0257,-.0835
12,5,2020,.0705,.201,.144,.0656,-.023
13,5,2020,.0623,.206,.138,.0695,-.0425
14,5,2020,.0862,.255,.169,.0917,-.0319
15,5,2020,.244,.438,.345,.247,.113
16,5,2020,-.0115,.16,.0859,-.00635,-.132
17,5,2020,-.263,-.171,-.207,-.256,-.335
18,5,2020,.0796,.203,.154,.0846,-.0157
19,5,2020,.129,.244,.194,.144,.0349
20,5,2020,.144,.273,.22,.153,.0457
21,5,2020,.164,.316,.263,.166,.0488
22,5,2020,.262,.472,.371,.262,.126
23,5,2020,.00217,.168,.0907,.00788,-.111
24,5,2020,-.235,-.143,-.177,-.225,-.309
25,5,2020,-.213,-.114,-.16,-.209,-.285
26,5,2020,.137,.235,.211,.138,.0588
27,5,2020,.17,.294,.247,.177,.0751
28,5,2020,.191,.359,.278,.188,.0793
29,5,2020,.275,.505,.395,.275,.123
30,5,2020,.0198,.192,.114,.0279,-.102
31,5,2020,-.214,-.137,-.168,-.206,-.275
1,6,2020,.313,.446,.383,.315,.231
2,6,2020,.232,.379,.309,.234,.132
3,6,2020,.203,.373,.287,.197,.0965
4,6,2020,.2,.381,.29,.212,.0738
5,6,2020,.307,.539,.421,.313,.156
6,6,2020,.0327,.19,.123,.0428,-.0803
7,6,2020,-.217,-.14,-.168,-.205,-.28
8,6,2020,.156,.262,.225,.166,.0701
9,6,2020,.17,.282,.23,.179,.0888
10,6,2020,.193,.314,.261,.201,.105
11,6,2020,.202,.338,.286,.209,.102
12,6,2020,.302,.497,.408,.3,.175
13,6,2020,.0617,.209,.148,.0715,-.0424
14,6,2020,-.189,-.109,-.14,-.178,-.252
15,6,2020,.208,.315,.28,.211,.128
16,6,2020,.254,.347,.317,.271,.174
17,6,2020,.219,.324,.287,.229,.137
18,6,2020,.234,.367,.304,.245,.138
19,6,2020,.325,.516,.428,.33,.198
20,6,2020,.113,.258,.19,.125,.0173
21,6,2020,-.194,-.117,-.147,-.184,-.254
