year,month,day_endofweek,countyfips,initclaims_count_regular,initclaims_rate_regular
2020,1,11,55013,23,.322
2020,1,11,55015,99,.359
2020,1,11,55017,210,.633
2020,1,11,55019,114,.643
2020,1,11,55021,163,.516
2020,1,11,55023,44,.577
2020,1,11,55025,454,.141
2020,1,11,55027,258,.543
2020,1,11,55029,67,.438
2020,1,11,55031,43,.187
2020,1,11,55033,78,.324
2020,1,11,55035,207,.352
2020,1,11,55037,2,.09
2020,1,11,55039,286,.498
2020,1,11,55041,39,.972
2020,1,11,55043,123,.441
2020,1,11,55045,92,.437
2020,1,11,55047,85,.899
2020,1,11,55049,65,.473
2020,1,11,55051,26,1.02
2020,1,11,55053,67,.652
2020,1,11,55055,195,.425
2020,1,11,55057,50,.372
2020,1,11,55059,266,.298
2020,1,11,55061,52,.471
2020,1,11,55063,208,.314
2020,1,11,55065,41,.406
2020,1,11,55067,61,.654
2020,1,11,55069,174,1.15
2020,1,11,55071,295,.72
2020,1,11,55073,358,.487
2020,1,11,55075,202,1.04
2020,1,11,55077,75,.972
2020,1,11,55078,2,.123
2020,1,11,55079,1609,.345
2020,1,11,55081,118,.505
2020,1,11,55083,155,.753
2020,1,11,55085,113,.633
2020,1,11,55087,410,.398
2020,1,11,55089,108,.22
2020,1,11,55091,18,.434
2020,1,11,55093,43,.169
2020,1,11,55095,56,.228
2020,1,11,55097,171,.443
2020,1,11,55099,40,.616
2020,1,11,55101,648,.657
2020,1,11,55103,38,.412
2020,1,11,55105,339,.397
2020,1,11,55107,100,1.49
2020,1,11,55109,141,.28
2020,1,11,55111,151,.424
2020,1,11,55113,38,.477
2020,1,11,55115,98,.466
2020,1,11,55117,148,.238
2020,1,11,55119,106,.966
2020,1,11,55121,72,.451
2020,1,11,55123,66,.432
2020,1,11,55125,69,.68
2020,1,11,55127,204,.353
2020,1,11,55129,51,.649
2020,1,11,55131,287,.372
2020,1,11,55133,599,.267
2020,1,11,55135,185,.713
2020,1,11,55137,62,.543
2020,1,11,55139,324,.354
2020,1,11,55141,221,.629
2020,1,11,56001,24,.119
2020,1,11,56003,20,.377
2020,1,11,56005,60,.258
2020,1,11,56007,22,.276
2020,1,11,56009,9,.104
2020,1,11,56011,5,.135
2020,1,11,56013,79,.424
2020,1,11,56015,6,.0906
2020,1,11,56017,7,.322
2020,1,11,56019,8,.191
2020,1,11,56021,98,.202
2020,1,11,56023,23,.259
2020,1,11,56025,100,.254
2020,1,11,56027,.,.
2020,1,11,56029,51,.33
2020,1,11,56031,.,.
2020,1,11,56033,49,.313
2020,1,11,56035,15,.363
2020,1,11,56037,52,.244
2020,1,11,56039,15,.0963
2020,1,11,56041,14,.155
2020,1,11,56043,5,.127
2020,1,11,56045,6,.157
2020,1,18,6001,2025,.24
2020,1,18,6003,3.78,.686
2020,1,18,6005,70.6,.474
2020,1,18,6007,548,.552
2020,1,18,6009,100,.469
2020,1,18,6011,290,2.64
2020,1,18,6013,1499,.267
2020,1,18,6015,65.2,.674
2020,1,18,6017,316,.343
2020,1,18,6019,4100,.91
2020,1,18,6021,118,.909
2020,1,18,6023,318,.508
2020,1,18,6025,940,1.32
2020,1,18,6027,30.2,.345
2020,1,18,6029,3701,.947
2020,1,18,6031,678,1.17
2020,1,18,6033,180,.618
2020,1,18,6035,73.1,.74
2020,1,18,6037,16551,.323
2020,1,18,6039,478,.772
2020,1,18,6041,220,.157
2020,1,18,6043,56.7,.745
2020,1,18,6045,210,.539
2020,1,18,6047,1489,1.28
2020,1,18,6049,22,.695
2020,1,18,6051,26.8,.315
2020,1,18,6053,1978,.889
2020,1,18,6055,214,.289
2020,1,18,6057,165,.339
2020,1,18,6059,3244,.2
2020,1,18,6061,524,.279
2020,1,18,6063,94.5,1.2
2020,1,18,6065,4220,.382
2020,1,18,6067,2788,.391
2020,1,18,6069,220,.699
2020,1,18,6071,4085,.422
2020,1,18,6073,4198,.264
2020,1,18,6075,1191,.204
2020,1,18,6077,2206,.675
2020,1,18,6079,340,.241
2020,1,18,6081,626,.136
2020,1,18,6083,794,.365
2020,1,18,6085,1912,.181
2020,1,18,6087,1035,.727
2020,1,18,6089,617,.83
2020,1,18,6091,10.4,.784
2020,1,18,6093,187,1.08
2020,1,18,6095,893,.426
2020,1,18,6097,753,.29
2020,1,18,6099,1805,.741
2020,1,18,6101,437,.955
2020,1,18,6103,182,.71
2020,1,18,6105,46.6,.993
2020,1,18,6107,2384,1.17
2020,1,18,6109,129,.607
2020,1,18,6111,1433,.339
2020,1,18,6113,489,.45
2020,1,18,6115,267,.889
2020,1,18,11001,.,.
2020,1,18,16001,359,.141
2020,1,18,16003,.,.
