cityid,year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
2,2020,3,22,-.127,-.04,-.201,-.0858,-.0716,-.606,-.0735,-.113,-.152
2,2020,3,23,-.141,-.0557,-.224,-.0963,-.0762,-.646,-.0836,-.126,-.168
2,2020,3,24,-.154,-.0712,-.245,-.108,-.0809,-.668,-.0941,-.138,-.183
2,2020,3,25,-.167,-.0865,-.263,-.118,-.0855,-.686,-.104,-.151,-.197
2,2020,3,26,-.181,-.1,-.282,-.13,-.0905,-.704,-.114,-.164,-.211
2,2020,3,27,-.195,-.114,-.299,-.133,-.0969,-.72,-.125,-.177,-.227
2,2020,3,28,-.211,-.137,-.321,-.143,-.104,-.734,-.138,-.192,-.245
2,2020,3,29,-.227,-.159,-.34,-.152,-.111,-.745,-.15,-.205,-.263
2,2020,3,30,-.243,-.182,-.358,-.161,-.118,-.753,-.162,-.219,-.281
2,2020,3,31,-.259,-.204,-.375,-.169,-.125,-.762,-.173,-.233,-.3
2,2020,4,1,-.275,-.226,-.393,-.178,-.132,-.771,-.186,-.247,-.318
2,2020,4,2,-.291,-.249,-.41,-.189,-.139,-.777,-.198,-.26,-.337
2,2020,4,3,-.308,-.274,-.428,-.208,-.148,-.783,-.213,-.275,-.356
2,2020,4,4,-.329,-.297,-.449,-.221,-.164,-.786,-.23,-.292,-.379
2,2020,4,5,-.349,-.32,-.471,-.234,-.179,-.788,-.246,-.309,-.402
2,2020,4,6,-.369,-.343,-.492,-.246,-.195,-.793,-.263,-.326,-.426
2,2020,4,7,-.389,-.366,-.514,-.259,-.21,-.797,-.279,-.343,-.448
2,2020,4,8,-.409,-.389,-.535,-.272,-.226,-.801,-.296,-.36,-.471
2,2020,4,9,-.428,-.412,-.557,-.282,-.241,-.805,-.311,-.377,-.492
2,2020,4,10,-.445,-.43,-.58,-.281,-.254,-.81,-.325,-.392,-.511
2,2020,4,11,-.457,-.457,-.601,-.284,-.261,-.813,-.333,-.403,-.524
2,2020,4,12,-.468,-.484,-.622,-.286,-.268,-.82,-.341,-.413,-.537
2,2020,4,13,-.479,-.511,-.642,-.289,-.275,-.823,-.349,-.423,-.55
2,2020,4,14,-.49,-.537,-.661,-.291,-.282,-.825,-.357,-.432,-.563
2,2020,4,15,-.501,-.564,-.68,-.293,-.29,-.827,-.365,-.442,-.575
2,2020,4,16,-.511,-.591,-.698,-.295,-.297,-.828,-.371,-.451,-.586
2,2020,4,17,-.519,-.616,-.712,-.311,-.303,-.827,-.377,-.456,-.597
2,2020,4,18,-.522,-.62,-.714,-.324,-.306,-.825,-.38,-.459,-.6
2,2020,4,19,-.524,-.624,-.715,-.337,-.309,-.821,-.382,-.461,-.603
2,2020,4,20,-.527,-.628,-.717,-.351,-.312,-.817,-.384,-.464,-.606
2,2020,4,21,-.53,-.632,-.719,-.364,-.315,-.813,-.386,-.466,-.609
2,2020,4,22,-.532,-.636,-.721,-.377,-.318,-.809,-.389,-.468,-.611
2,2020,4,23,-.535,-.639,-.724,-.389,-.32,-.806,-.392,-.47,-.615
2,2020,4,24,-.538,-.643,-.726,-.39,-.324,-.806,-.394,-.474,-.617
2,2020,4,25,-.54,-.643,-.726,-.39,-.327,-.803,-.397,-.477,-.619
2,2020,4,26,-.542,-.643,-.727,-.391,-.329,-.801,-.4,-.479,-.62
2,2020,4,27,-.543,-.643,-.728,-.392,-.332,-.795,-.402,-.482,-.621
2,2020,4,28,-.545,-.643,-.728,-.393,-.334,-.791,-.405,-.484,-.623
2,2020,4,29,-.547,-.643,-.729,-.393,-.337,-.785,-.407,-.487,-.624
2,2020,4,30,-.548,-.644,-.726,-.392,-.339,-.778,-.409,-.489,-.625
2,2020,5,1,-.549,-.644,-.727,-.385,-.339,-.772,-.409,-.49,-.625
2,2020,5,2,-.548,-.645,-.725,-.376,-.338,-.767,-.408,-.488,-.624
2,2020,5,3,-.547,-.647,-.725,-.366,-.337,-.762,-.407,-.487,-.623
2,2020,5,4,-.546,-.649,-.723,-.357,-.337,-.759,-.406,-.486,-.622
