statefips,year,month,day,emp,emp31_33,emp44_45,emp48_49,emp62,emp72,emp_inclow,emp_incmiddle,emp_inchigh
28,2020,4,11,-.327,-.28,-.325,-.265,-.239,-.629,-.339,-.308,-.339
28,2020,4,12,-.338,-.293,-.346,-.288,-.247,-.645,-.349,-.32,-.35
28,2020,4,13,-.347,-.306,-.357,-.31,-.256,-.654,-.357,-.331,-.355
28,2020,4,14,-.356,-.319,-.374,-.332,-.264,-.657,-.365,-.342,-.364
28,2020,4,15,-.365,-.331,-.389,-.358,-.272,-.654,-.372,-.353,-.366
28,2020,4,16,-.373,-.348,-.402,-.38,-.28,-.652,-.379,-.365,-.374
28,2020,4,17,-.38,-.361,-.407,-.394,-.289,-.651,-.385,-.373,-.372
28,2020,4,18,-.384,-.375,-.411,-.394,-.291,-.646,-.389,-.378,-.372
28,2020,4,19,-.387,-.39,-.407,-.394,-.294,-.635,-.392,-.382,-.364
28,2020,4,20,-.391,-.404,-.403,-.394,-.296,-.631,-.395,-.386,-.35
28,2020,4,21,-.394,-.418,-.396,-.394,-.299,-.625,-.399,-.391,-.335
28,2020,4,22,-.398,-.432,-.393,-.397,-.302,-.622,-.403,-.396,-.325
28,2020,4,23,-.401,-.441,-.387,-.399,-.304,-.617,-.407,-.4,-.311
28,2020,4,24,-.403,-.451,-.387,-.397,-.306,-.607,-.408,-.403,-.31
28,2020,4,25,-.401,-.455,-.377,-.391,-.307,-.601,-.407,-.401,-.307
28,2020,4,26,-.401,-.459,-.376,-.385,-.308,-.595,-.408,-.4,-.305
28,2020,4,27,-.399,-.463,-.363,-.38,-.309,-.594,-.407,-.398,-.303
28,2020,4,28,-.398,-.467,-.355,-.374,-.31,-.591,-.406,-.396,-.3
28,2020,4,29,-.396,-.471,-.345,-.366,-.311,-.584,-.405,-.394,-.297
28,2020,4,30,-.394,-.474,-.335,-.358,-.312,-.58,-.404,-.391,-.298
28,2020,5,1,-.392,-.474,-.325,-.355,-.314,-.575,-.403,-.387,-.295
28,2020,5,2,-.39,-.469,-.319,-.355,-.313,-.571,-.402,-.384,-.295
28,2020,5,3,-.389,-.464,-.316,-.355,-.312,-.567,-.4,-.382,-.295
28,2020,5,4,-.388,-.458,-.317,-.355,-.311,-.56,-.399,-.38,-.305
28,2020,5,5,-.385,-.453,-.311,-.355,-.31,-.55,-.396,-.378,-.315
28,2020,5,6,-.383,-.447,-.305,-.355,-.309,-.537,-.393,-.375,-.328
28,2020,5,7,-.379,-.445,-.297,-.355,-.308,-.516,-.388,-.373,-.337
28,2020,5,8,-.376,-.444,-.287,-.355,-.305,-.495,-.383,-.371,-.349
28,2020,5,9,-.373,-.448,-.272,-.355,-.305,-.473,-.379,-.369,-.35
28,2020,5,10,-.37,-.452,-.266,-.355,-.306,-.45,-.375,-.367,-.353
28,2020,5,11,-.368,-.456,-.259,-.355,-.307,-.442,-.373,-.366,-.352
28,2020,5,12,-.367,-.46,-.253,-.355,-.308,-.427,-.372,-.365,-.354
28,2020,5,13,-.366,-.464,-.246,-.355,-.309,-.413,-.371,-.364,-.352
28,2020,5,14,-.366,-.468,-.247,-.355,-.309,-.406,-.372,-.363,-.349
28,2020,5,15,-.366,-.471,-.247,-.355,-.311,-.396,-.372,-.362,-.339
28,2020,5,16,-.365,-.472,-.247,-.355,-.31,-.392,-.371,-.362,-.333
28,2020,5,17,-.365,-.472,-.243,-.355,-.309,-.393,-.37,-.362,-.325
28,2020,5,18,-.364,-.473,-.237,-.355,-.308,-.392,-.37,-.362,-.317
28,2020,5,19,-.362,-.474,-.23,-.355,-.307,-.391,-.368,-.361,-.308
28,2020,5,20,-.36,-.474,-.225,-.355,-.307,-.384,-.366,-.36,-.302
28,2020,5,21,-.358,-.473,-.218,-.355,-.307,-.378,-.363,-.359,-.296
28,2020,5,22,-.357,-.47,-.215,-.358,-.306,-.372,-.361,-.359,-.301
28,2020,5,23,-.357,-.466,-.216,-.36,-.308,-.358,-.36,-.358,-.304
