year,month,day_endofweek,statefips,initclaims_count_regular,contclaims_count_regular,initclaims_count_pua,contclaims_count_peuc,contclaims_count_pua,initclaims_count_combined,contclaims_count_combined,initclaims_rate_regular,contclaims_rate_regular,initclaims_rate_pua,contclaims_rate_peuc,contclaims_rate_pua,initclaims_rate_combined,contclaims_rate_combined
2020,1,18,26,10302,84114,0,0,0,10302,84114,.209,1.7,0,0,0,.209,1.7
2020,1,18,27,4459,62566,0,0,0,4459,62566,.143,2.01,0,0,0,.143,2.01
2020,1,18,28,1135,8804,0,0,0,1135,8804,.0889,.69,0,0,0,.0889,.69
2020,1,18,29,4834,29525,0,0,0,4834,29525,.157,.958,0,0,0,.157,.958
2020,1,18,30,1236,11254,0,0,0,1236,11254,.232,2.11,0,0,0,.232,2.11
2020,1,18,31,1076,6978,0,0,0,1076,6978,.104,.674,0,0,0,.104,.674
2020,1,18,32,2451,19328,0,0,0,2451,19328,.159,1.25,0,0,0,.159,1.25
2020,1,18,33,612,4212,0,0,0,612,4212,.0791,.544,0,0,0,.0791,.544
2020,1,18,34,10728,108425,0,0,0,10728,108425,.239,2.41,0,0,0,.239,2.41
2020,1,18,35,947,9920,0,0,0,947,9920,.0992,1.04,0,0,0,.0992,1.04
2020,1,18,36,17791,164189,0,0,0,17791,164189,.187,1.73,0,0,0,.187,1.73
2020,1,18,37,4217,22247,0,0,0,4217,22247,.083,.438,0,0,0,.083,.438
2020,1,18,38,785,6809,0,0,0,785,6809,.194,1.69,0,0,0,.194,1.69
2020,1,18,39,7817,72804,0,0,0,7817,72804,.135,1.25,0,0,0,.135,1.25
2020,1,18,40,1981,17467,0,0,0,1981,17467,.108,.949,0,0,0,.108,.949
2020,1,18,41,4043,31524,0,0,0,4043,31524,.192,1.5,0,0,0,.192,1.5
2020,1,18,42,16217,142317,0,0,0,16217,142317,.25,2.19,0,0,0,.25,2.19
2020,1,18,44,1188,10967,0,0,0,1188,10967,.214,1.97,0,0,0,.214,1.97
2020,1,18,45,3126,18780,0,0,0,3126,18780,.132,.79,0,0,0,.132,.79
2020,1,18,46,338,2995,0,0,0,338,2995,.0728,.645,0,0,0,.0728,.645
2020,1,18,47,3093,20441,0,0,0,3093,20441,.0925,.611,0,0,0,.0925,.611
2020,1,18,48,15548,144106,0,0,0,15548,144106,.111,1.03,0,0,0,.111,1.03
2020,1,18,49,1458,12061,0,0,0,1458,12061,.0907,.75,0,0,0,.0907,.75
2020,1,18,50,755,4961,0,0,0,755,4961,.221,1.45,0,0,0,.221,1.45
2020,1,18,51,2831,22218,0,0,0,2831,22218,.0642,.504,0,0,0,.0642,.504
2020,1,18,53,8974,65627,0,0,0,8974,65627,.229,1.68,0,0,0,.229,1.68
2020,1,18,54,1895,17681,0,0,0,1895,17681,.238,2.22,0,0,0,.238,2.22
2020,1,18,55,6388,44776,0,0,0,6388,44776,.206,1.44,0,0,0,.206,1.44
2020,1,18,56,636,3301,0,0,0,636,3301,.218,1.13,0,0,0,.218,1.13
2020,1,25,1,2129,18390,0,0,0,2129,18390,.095,.82,0,0,0,.095,.82
2020,1,25,2,1003,9496,0,0,0,1003,9496,.288,2.73,0,0,0,.288,2.73
2020,1,25,4,3470,18383,0,0,0,3470,18383,.0977,.518,0,0,0,.0977,.518
2020,1,25,5,1683,12331,0,0,0,1683,12331,.124,.905,0,0,0,.124,.905
2020,1,25,6,45518,335659,0,0,0,45518,335659,.234,1.73,0,0,0,.234,1.73
