year,month,day_endofweek,statefips,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5
2020,1,31,11,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,12,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,13,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,15,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,16,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,17,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,18,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,19,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,20,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,21,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,22,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,23,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,24,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,25,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,26,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,27,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,28,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,29,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,30,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,31,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,32,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,33,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,34,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,35,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,36,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,37,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,38,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,39,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,40,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,41,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,42,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,44,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,45,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,46,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,47,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,48,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,49,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,50,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,51,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,53,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,54,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,55,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,1,31,56,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,1,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,2,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,4,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,5,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,6,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,8,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,9,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,10,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,11,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,12,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,13,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,15,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,16,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,2,7,17,.,.,.,.,.,.,.,.,.,.,.,.,.
