year,month,day,cityid,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh
2020,1,20,17,-.000928,-8.15e-06,.000972,-.00569
2020,1,20,18,.00469,.000599,.00609,.0057
2020,1,20,19,.00323,.,.00208,.
2020,1,20,20,.00262,.00115,.00501,-.000297
2020,1,20,21,.00132,-.00637,.00244,.000556
2020,1,20,22,.0047,-.000911,.,.
2020,1,20,23,.,.,.,.
2020,1,20,24,.00126,.,.00327,-.00115
2020,1,20,25,.000961,-.00158,.00184,.000718
2020,1,20,26,.00219,.00595,.000875,.
2020,1,20,27,.000751,.,.000279,.00567
2020,1,20,28,-.000668,.,.,-.00379
2020,1,20,29,.00175,.00217,.00297,.000499
2020,1,20,30,.000169,.000531,.00162,-.00314
2020,1,20,31,.00187,.000766,.00296,.00122
2020,1,20,32,.0056,.,.00405,-.00123
2020,1,20,33,.00254,.00284,.00579,-.00741
2020,1,20,34,.00476,-.00158,.,-.00231
2020,1,20,35,.00528,-.0116,.0103,.00275
2020,1,20,36,-.00035,.00345,-.00107,-.00169
2020,1,20,37,.000347,.,.000911,-.00392
2020,1,20,38,.00208,-.000664,.00564,-.00145
2020,1,20,39,.00386,.,.00531,-.00365
2020,1,20,40,.00282,-.00182,.,.00442
2020,1,20,41,.00326,.00427,.00368,.00246
2020,1,20,42,.00141,.00127,.00366,-.00187
2020,1,20,43,.00108,-.00209,-.000198,.00632
2020,1,20,44,-.000582,.00124,.000472,-.00604
2020,1,20,45,.0000312,.,.,.
2020,1,20,46,.000141,.,.00112,-.00387
2020,1,20,47,.00175,-.00581,.00409,.00222
2020,1,20,48,.0156,.,.,.
2020,1,20,49,.00075,.00899,-.00442,.
2020,1,20,50,.00268,.00414,.000187,.00652
2020,1,20,51,.,.,.,.
2020,1,20,52,.00445,.000189,.0075,.00353
2020,1,20,53,.000814,.00558,-.000251,-.00194
2020,1,21,1,.00372,-.00472,.00527,.00304
2020,1,21,2,.00324,.00443,.00219,.00444
2020,1,21,3,.00205,.00484,.00206,.000308
2020,1,21,4,.00303,.,.0053,.00091
2020,1,21,5,-.00123,-.00525,.000825,-.0019
2020,1,21,6,.00316,-.0113,.00761,.00218
2020,1,21,7,.00129,.00233,.0038,-.00357
2020,1,21,8,.00197,.,.0027,.00186
2020,1,21,9,.00491,-.0253,.00733,.00364
2020,1,21,10,.00407,.00986,.0035,-.000886
2020,1,21,11,.00108,.000806,.00145,.000791
2020,1,21,12,.00488,.00725,.00653,.00278
2020,1,21,13,.00446,.,.,.00306
2020,1,21,14,.0034,.014,.,-.00317
2020,1,21,15,.00165,.00421,.,.000477
2020,1,21,16,.00419,.00655,.,-.00403
2020,1,21,17,-.000308,.000323,.00211,-.00575
2020,1,21,18,.00538,-.0000608,.00748,.00619
2020,1,21,19,.00186,.,.00284,.
2020,1,21,20,.00398,.00294,.00658,-.0000579
2020,1,21,21,.00267,-.00546,.00299,.00269
2020,1,21,22,.00538,.000154,.,.
2020,1,21,23,.,.,.,.
2020,1,21,24,.00217,.,.00447,-.00121
2020,1,21,25,.00202,.000258,.0027,.00176
2020,1,21,26,.00314,.0074,.00139,.
2020,1,21,27,.000942,.,.000179,.00618
2020,1,21,28,.000351,.,.,-.00277
2020,1,21,29,.00254,.00171,.00419,.00106
2020,1,21,30,.000865,.000853,.00251,-.00254
2020,1,21,31,.00261,.00205,.0035,.00152
2020,1,21,32,.00716,.,.00552,-.000674
2020,1,21,33,.00315,.00159,.00758,-.00758
2020,1,21,34,.00565,-.00378,.,-.0016
2020,1,21,35,.00464,-.0134,.00941,.00309
