cityid,year,month,day,pay,pay31_33,pay44_45,pay48_49,pay62,pay72,pay_inclow,pay_incmiddle,pay_inchigh
33,2020,1,26,.00807,-.0382,-.0186,-.0219,.0154,.0196,.0103,.00509,.00375
33,2020,1,27,.00854,-.0568,-.0223,-.0262,.0203,.0267,.0124,.00114,.0108
33,2020,1,28,.00832,-.0574,-.0238,-.0223,.0217,.034,.0128,-.002,.0179
33,2020,1,29,.00751,-.0593,-.0243,-.0186,.0231,.0342,.012,-.00429,.0233
33,2020,1,30,.00653,-.0614,-.0272,-.0153,.024,.0351,.0112,-.00749,.0296
33,2020,1,31,.0068,-.055,-.0259,-.0152,.022,.0398,.0114,-.00913,.0378
33,2020,2,1,.00686,-.0472,-.0228,-.0146,.018,.048,.0116,-.0088,.0361
33,2020,2,2,.00585,-.0395,-.0187,-.0139,.014,.0391,.0111,-.0106,.0339
33,2020,2,3,.00508,-.0317,-.0186,-.0132,.00996,.0425,.0106,-.0114,.0318
33,2020,2,4,.00327,-.024,-.0183,-.0145,.00652,.0391,.00895,-.0137,.0303
33,2020,2,5,.00151,-.0149,-.018,-.0161,.00297,.0399,.00747,-.0158,.028
33,2020,2,6,-.000302,-.00882,-.0165,-.0179,-.00023,.0405,.00545,-.017,.0253
33,2020,2,7,-.00242,-.00978,-.0171,-.018,-.0000613,.042,.00284,-.0182,.0222
33,2020,2,8,-.00429,-.0192,-.0193,-.0196,.00196,.0458,.000561,-.0179,.0143
33,2020,2,9,-.00531,-.0286,-.0203,-.0212,.00399,.059,-.000957,-.0164,.00705
33,2020,2,10,-.00688,-.0381,-.019,-.0228,.00602,.0592,-.00275,-.0162,-.000469
33,2020,2,11,-.00761,-.0475,-.0168,-.0245,.00825,.0623,-.00347,-.0149,-.00945
33,2020,2,12,-.00843,-.0569,-.014,-.0252,.0105,.0623,-.0044,-.0137,-.0175
33,2020,2,13,-.009,-.0644,-.0125,-.0279,.012,.0662,-.00456,-.0131,-.026
33,2020,2,14,-.0105,-.0774,-.0137,-.026,.0114,.0701,-.00521,-.0144,-.0347
33,2020,2,15,-.0122,-.0748,-.0161,-.0217,.00941,.0588,-.00828,-.0138,-.0367
33,2020,2,16,-.0134,-.0723,-.0185,-.0175,.0074,.0553,-.0114,-.0112,-.0389
33,2020,2,17,-.0148,-.0697,-.0231,-.0132,.00538,.0542,-.0142,-.01,-.0406
33,2020,2,18,-.0129,-.0697,-.0177,-.013,.00517,.0581,-.0129,-.00738,-.0387
33,2020,2,19,-.0128,-.0672,-.0198,-.00862,.00295,.0606,-.0142,-.00511,-.0376
33,2020,2,20,-.0124,-.0662,-.0213,.0006,.00118,.0593,-.0158,-.00162,-.0356
33,2020,2,21,-.0114,-.0642,-.02,.00117,.000552,.0559,-.0159,.0014,-.0341
33,2020,2,22,-.0124,-.0647,-.0188,.00317,.00343,.0575,-.0155,-.00109,-.0381
33,2020,2,23,-.0141,-.0651,-.0196,.00517,.0063,.0537,-.0153,-.00574,-.0412
33,2020,2,24,-.0167,-.063,-.0226,.0114,.00716,.0503,-.018,-.00724,-.0464
33,2020,2,25,-.0193,-.0634,-.0251,.0127,.00983,.0484,-.0189,-.0125,-.0507
33,2020,2,26,-.0212,-.0626,-.0266,.0136,.0127,.0513,-.0193,-.0164,-.0551
33,2020,2,27,-.0238,-.0607,-.0274,.0105,.0158,.0527,-.0198,-.0218,-.0608
33,2020,2,28,-.0273,-.0594,-.0289,.0148,.015,.0495,-.0221,-.0269,-.0662
33,2020,2,29,-.03,-.0679,-.029,.0118,.0105,.0504,-.0235,-.032,-.0676
33,2020,3,1,-.0324,-.0763,-.0292,.00874,.00595,.054,-.0248,-.0362,-.0711
33,2020,3,2,-.0349,-.0847,-.0292,.00571,.0014,.0571,-.0264,-.0405,-.0725
33,2020,3,3,-.0375,-.0932,-.0302,.00343,-.00294,.0601,-.0279,-.0451,-.074
33,2020,3,4,-.0404,-.103,-.0294,.00233,-.00766,.0577,-.0297,-.0496,-.0771
33,2020,3,5,-.043,-.113,-.029,.00455,-.0122,.0559,-.0315,-.0534,-.0797
33,2020,3,6,-.0451,-.121,-.0276,-.00106,-.0148,.0575,-.0328,-.0564,-.0838
33,2020,3,7,-.0463,-.121,-.0309,-.00434,-.019,.058,-.0348,-.0562,-.0841
33,2020,3,8,-.0478,-.12,-.036,-.00761,-.0232,.0576,-.0371,-.0571,-.0836
33,2020,3,9,-.0493,-.119,-.0396,-.0109,-.0274,.0548,-.0391,-.0577,-.0852
33,2020,3,10,-.051,-.119,-.0448,-.0169,-.0318,.0515,-.0412,-.0583,-.087
33,2020,3,11,-.0527,-.118,-.0505,-.0254,-.0359,.0468,-.0434,-.0592,-.0886
33,2020,3,12,-.0541,-.119,-.0534,-.0336,-.0401,.0414,-.0453,-.0599,-.0887
33,2020,3,13,-.056,-.119,-.0544,-.0339,-.0465,.0299,-.0478,-.0607,-.0903
33,2020,3,14,-.0588,-.12,-.0529,-.0375,-.0528,.0194,-.0511,-.0621,-.0939
33,2020,3,15,-.0615,-.121,-.0499,-.041,-.059,.006,-.0544,-.0634,-.0977
33,2020,3,16,-.0644,-.122,-.0476,-.0446,-.0652,-.00734,-.0575,-.0657,-.102
33,2020,3,17,-.0676,-.123,-.0448,-.0454,-.0712,-.0271,-.0612,-.0676,-.106
33,2020,3,18,-.0726,-.123,-.0428,-.0452,-.0774,-.0659,-.0666,-.0714,-.112
33,2020,3,19,-.0792,-.122,-.0455,-.0502,-.0835,-.111,-.0731,-.0779,-.12
33,2020,3,20,-.087,-.122,-.0513,-.0601,-.0853,-.167,-.0814,-.0857,-.125
33,2020,3,21,-.0972,-.124,-.0538,-.0774,-.0878,-.232,-.0916,-.0976,-.128
33,2020,3,22,-.106,-.127,-.0549,-.0946,-.0903,-.285,-.101,-.107,-.13
33,2020,3,23,-.114,-.129,-.0555,-.112,-.0928,-.322,-.109,-.116,-.132
33,2020,3,24,-.122,-.131,-.0559,-.126,-.0953,-.359,-.118,-.124,-.132
33,2020,3,25,-.129,-.134,-.0588,-.14,-.0976,-.381,-.126,-.131,-.129
33,2020,3,26,-.135,-.135,-.0584,-.153,-.1,-.398,-.134,-.136,-.127
33,2020,3,27,-.142,-.137,-.0607,-.169,-.107,-.412,-.141,-.144,-.128
33,2020,3,28,-.148,-.14,-.0646,-.179,-.112,-.422,-.15,-.147,-.13
33,2020,3,29,-.154,-.144,-.0677,-.19,-.117,-.436,-.159,-.15,-.134
33,2020,3,30,-.16,-.147,-.0709,-.201,-.121,-.446,-.167,-.153,-.137
33,2020,3,31,-.167,-.15,-.0746,-.215,-.126,-.458,-.176,-.157,-.141
33,2020,4,1,-.173,-.154,-.078,-.23,-.131,-.466,-.183,-.16,-.146
33,2020,4,2,-.179,-.158,-.0815,-.243,-.136,-.475,-.191,-.164,-.151
33,2020,4,3,-.186,-.16,-.0864,-.251,-.138,-.483,-.2,-.167,-.154
33,2020,4,4,-.194,-.172,-.101,-.253,-.145,-.49,-.208,-.174,-.176
33,2020,4,5,-.203,-.183,-.114,-.254,-.151,-.497,-.215,-.181,-.198
33,2020,4,6,-.212,-.195,-.128,-.256,-.158,-.503,-.223,-.188,-.22
33,2020,4,7,-.22,-.205,-.143,-.258,-.165,-.503,-.231,-.193,-.241
33,2020,4,8,-.228,-.214,-.156,-.257,-.171,-.503,-.238,-.199,-.262
33,2020,4,9,-.235,-.222,-.166,-.252,-.178,-.505,-.245,-.203,-.282
33,2020,4,10,-.242,-.236,-.173,-.246,-.189,-.506,-.251,-.209,-.302
33,2020,4,11,-.248,-.238,-.177,-.245,-.196,-.511,-.258,-.214,-.305
33,2020,4,12,-.255,-.24,-.181,-.243,-.202,-.527,-.265,-.222,-.31
33,2020,4,13,-.262,-.242,-.186,-.241,-.209,-.534,-.272,-.228,-.313
33,2020,4,14,-.268,-.247,-.19,-.24,-.216,-.541,-.279,-.235,-.315
33,2020,4,15,-.275,-.251,-.195,-.235,-.223,-.547,-.286,-.241,-.318
33,2020,4,16,-.282,-.258,-.204,-.239,-.228,-.55,-.294,-.249,-.322
33,2020,4,17,-.288,-.264,-.213,-.245,-.231,-.55,-.3,-.257,-.324
33,2020,4,18,-.296,-.27,-.223,-.246,-.233,-.545,-.306,-.269,-.327
33,2020,4,19,-.303,-.276,-.232,-.247,-.234,-.534,-.312,-.28,-.328
33,2020,4,20,-.311,-.283,-.242,-.248,-.236,-.529,-.318,-.292,-.33
33,2020,4,21,-.319,-.291,-.253,-.251,-.238,-.525,-.324,-.305,-.333
33,2020,4,22,-.327,-.3,-.263,-.256,-.24,-.52,-.331,-.317,-.334
33,2020,4,23,-.335,-.31,-.271,-.264,-.243,-.517,-.336,-.33,-.335
33,2020,4,24,-.343,-.315,-.281,-.274,-.248,-.514,-.344,-.342,-.338
33,2020,4,25,-.347,-.317,-.284,-.288,-.253,-.514,-.349,-.344,-.337
33,2020,4,26,-.35,-.319,-.286,-.301,-.257,-.513,-.354,-.346,-.338
33,2020,4,27,-.354,-.321,-.287,-.315,-.262,-.514,-.358,-.349,-.339
