year,month,day_endofmonth,countyfips,freq,spend_all,spend_s_all,provisional
2020,1,31,17135,m,0,0,0
2020,1,31,17137,m,0,0,0
2020,1,31,17139,m,0,0,0
2020,1,31,17141,m,0,0,0
2020,1,31,17143,m,0,0,0
2020,1,31,17147,m,0,0,0
2020,1,31,17149,m,0,0,0
2020,1,31,17157,m,0,0,0
2020,1,31,17159,m,0,0,0
2020,1,31,17161,m,0,0,0
2020,1,31,17163,m,0,0,0
2020,1,31,17167,m,0,0,0
2020,1,31,17171,m,0,0,0
2020,1,31,17173,m,0,0,0
2020,1,31,17179,m,0,0,0
2020,1,31,17183,m,0,0,0
2020,1,31,17185,m,0,0,0
2020,1,31,17187,m,0,0,0
2020,1,31,17191,m,0,0,0
2020,1,31,17195,m,0,0,0
2020,1,31,17197,m,0,0,0
2020,1,31,17199,m,0,0,0
2020,1,31,17201,m,0,0,0
2020,1,31,17203,m,0,0,0
2020,1,31,18001,m,0,0,0
2020,1,31,18003,m,0,0,0
2020,1,31,18005,m,0,0,0
2020,1,31,18011,m,0,0,0
2020,1,31,18019,m,0,0,0
2020,1,31,18021,m,0,0,0
2020,1,31,18025,m,0,0,0
2020,1,31,18029,m,0,0,0
2020,1,31,18031,m,0,0,0
2020,1,31,18037,m,0,0,0
2020,1,31,18043,m,0,0,0
2020,1,31,18045,m,0,0,0
2020,1,31,18049,m,0,0,0
2020,1,31,18051,m,0,0,0
2020,1,31,18053,m,0,0,0
2020,1,31,18055,m,0,0,0
2020,1,31,18057,m,0,0,0
2020,1,31,18059,m,0,0,0
2020,1,31,18061,m,0,0,0
2020,1,31,18063,m,0,0,0
2020,1,31,18069,m,0,0,0
2020,1,31,18071,m,0,0,0
2020,1,31,18079,m,0,0,0
2020,1,31,18081,m,0,0,0
2020,1,31,18083,m,0,0,0
2020,1,31,18085,m,0,0,0
2020,1,31,18087,m,0,0,0
2020,1,31,18091,m,0,0,0
2020,1,31,18097,m,0,0,0
2020,1,31,18101,m,0,0,0
2020,1,31,18105,m,0,0,0
2020,1,31,18107,m,0,0,0
2020,1,31,18109,m,0,0,0
2020,1,31,18113,m,0,0,0
2020,1,31,18119,m,0,0,0
2020,1,31,18121,m,0,0,0
2020,1,31,18125,m,0,0,0
2020,1,31,18127,m,0,0,0
2020,1,31,18129,m,0,0,0
2020,1,31,18133,m,0,0,0
2020,1,31,18139,m,0,0,0
2020,1,31,18141,m,0,0,0
2020,1,31,18143,m,0,0,0
2020,1,31,18147,m,0,0,0
2020,1,31,18151,m,0,0,0
2020,1,31,18153,m,0,0,0
2020,1,31,18163,m,0,0,0
2020,1,31,18165,m,0,0,0
2020,1,31,18167,m,0,0,0
2020,1,31,18173,m,0,0,0
2020,1,31,18175,m,0,0,0
2020,1,31,18177,m,0,0,0
2020,1,31,18179,m,0,0,0
2020,1,31,18183,m,0,0,0
2020,1,31,19011,m,0,0,0
2020,1,31,19013,m,0,0,0
2020,1,31,19015,m,0,0,0
2020,1,31,19017,m,0,0,0
2020,1,31,19019,m,0,0,0
2020,1,31,19021,m,0,0,0
2020,1,31,19023,m,0,0,0
2020,1,31,19027,m,0,0,0
2020,1,31,19029,m,0,0,0
2020,1,31,19031,m,0,0,0
2020,1,31,19033,m,0,0,0
2020,1,31,19041,m,0,0,0
2020,1,31,19045,m,0,0,0
2020,1,31,19047,m,0,0,0
2020,1,31,19049,m,0,0,0
2020,1,31,19055,m,0,0,0
2020,1,31,19059,m,0,0,0
2020,1,31,19061,m,0,0,0
2020,1,31,19065,m,0,0,0
2020,1,31,19067,m,0,0,0
2020,1,31,19075,m,0,0,0
2020,1,31,19077,m,0,0,0
2020,1,31,19083,m,0,0,0
2020,1,31,19085,m,0,0,0
2020,1,31,19087,m,0,0,0
2020,1,31,19095,m,0,0,0
2020,1,31,19097,m,0,0,0
2020,1,31,19099,m,0,0,0
2020,1,31,19103,m,0,0,0
