year,month,day,statefips,revenue_food_accommodation,revenue_retail,merchants_food_accommodation,merchants_retail
2020,1,15,46,.022843413,-.040070269,-.0010378578,-.0073947101
2020,1,15,47,-.0099608907,.0080868648,-.0045732227,-.0089504123
2020,1,15,48,-.020169243,-.016790764,-.012900644,-.022085061
2020,1,15,49,-.072554618,.0010592749,-.0087711895,-.0019401918
2020,1,15,50,-.10184927,-.12648535,-.010237252,-.033344515
2020,1,15,51,.061623368,.026099667,.016251136,.025621898
2020,1,15,53,-.073316187,-.10228423,-.022879355,-.041922167
2020,1,15,54,.07477916,.0051905257,.0053688223,.0073375138
2020,1,15,55,-.090720326,-.064082786,-.029383145,-.051720355
2020,1,15,56,-.034091242,-.049718,-.0067696692,-.0076565682
2020,1,16,1,-.038716838,-.041388839,-.014405477,-.023200845
2020,1,16,2,.0079259239,-.04491296,-.0012867675,-.0011195526
2020,1,16,4,.051719598,.013444169,-.0064208116,-.0091516981
2020,1,16,5,-.025648821,-.045975685,-.010648205,-.022300882
2020,1,16,6,.012004013,-.0039927051,-.0034600589,-.00023245103
2020,1,16,8,.023990003,-.034611501,-.0010402878,-.013075321
2020,1,16,9,.0056807143,-.0019995936,-.005984256,-.011409817
2020,1,16,10,.027119907,.02719604,.0042571547,.0076221833
2020,1,16,11,.07563892,.0056296964,.0045221616,.01007511
2020,1,16,12,-.0036705821,-.0027053682,-.0072912807,-.0068362281
2020,1,16,13,-.03161731,-.031117637,-.00097929907,-.010565626
2020,1,16,15,-.024066325,.087175727,.0016006739,-.016335309
2020,1,16,16,-.044345211,.010644011,-.0040116869,.004068288
2020,1,16,17,-.026242679,-.046107333,-.015448083,-.020398043
2020,1,16,18,.021283941,.0047667436,-.020567548,-.018815886
2020,1,16,19,-.047930151,-.066231847,-.023191746,-.041922931
2020,1,16,20,-.043755088,-.027902823,-.0010879624,.0029430408
2020,1,16,21,.0035928292,-.025066664,-.012851265,-.0085628834
2020,1,16,22,.0022012403,-.010713293,-.015523856,-.015878184
2020,1,16,23,-.0089052198,-.06881468,-.019109365,-.028201988
2020,1,16,24,.06804508,.07659854,-.0010510437,.031182328
2020,1,16,25,.017452573,-.010119759,-.011476961,-.01858644
2020,1,16,26,-.054274689,-.035580836,-.016484855,-.035159156
2020,1,16,27,-.033508118,-.02508417,-.018042114,-.029534683
2020,1,16,28,-.032011814,-.080982335,-.0066539068,-.02581651
2020,1,16,29,.064032376,.054276638,.020019582,.030190479
2020,1,16,30,-.044629857,.01182632,.0045332932,-.045422796
2020,1,16,31,-.008022015,.00015362102,-.0098564606,-.005534817
2020,1,16,32,.00031694528,-.040327601,-.013241245,.0017670556
2020,1,16,33,-.039303374,-.067598909,-.042702999,-.027689818
2020,1,16,34,.0016400537,-.022312898,-.004826393,.0015075261
2020,1,16,35,-.0021103758,-.031862453,-.003202392,-.0087365517
2020,1,16,36,.0022771209,-.01559155,-.010817643,-.011013518
2020,1,16,37,-.0043949527,.0052996837,.0079644425,.00058905722
2020,1,16,38,-.058497306,-.17436147,-.012811479,-.039696977
2020,1,16,39,-.00025105104,.0084462687,-.010221991,-.0044834693
2020,1,16,40,-.017652767,-.03741248,-.0014968569,-.0044850311
2020,1,16,41,.0076879817,-.016851017,.0052108597,-.0096113496
2020,1,16,42,.0047408571,-.012473032,-.0064317654,-.0015635449
2020,1,16,44,-.039669577,.058422204,-.0054322546,-.0010855866
2020,1,16,45,.0012030004,-.044453409,-.0022428555,-.011908566
2020,1,16,46,.014875097,-.01638026,-.0070491261,-.023461398
2020,1,16,47,-.0053945389,-.0091515286,-.0080541875,-.010658011
2020,1,16,48,-.01672196,-.019370358,-.013786824,-.023709996
2020,1,16,49,-.021932719,.0058936342,-.0094308322,-.0075258678
2020,1,16,50,-.13052876,-.16180782,-.018339409,-.047049072
2020,1,16,51,.059484556,.025718046,.015738009,.027068608
2020,1,16,53,-.086203411,-.12454528,-.025398321,-.044452362
2020,1,16,54,.078229271,.022393236,.0059083723,.01525661
2020,1,16,55,-.081188053,-.0615828,-.030197401,-.05277903
2020,1,16,56,-.0023330606,-.068582267,.011000948,-.0062860106
2020,1,17,1,-.034262091,-.030285705,-.012124594,-.014351618
2020,1,17,2,.0090588769,-.040204436,.0086500803,.011045597
2020,1,17,4,.05744959,.038877878,-.0036381371,-.0010069298
2020,1,17,5,.001461592,-.038527612,-.0059589306,-.019129459
2020,1,17,6,.026282422,.022346867,.0021460943,.0077074915
2020,1,17,8,.039761659,-.0031462137,.0056451145,-.0065743765
2020,1,17,9,.0044329185,-.011007652,-.0044702268,-.0070899432
2020,1,17,10,.017321328,.028054262,.0013462494,.004293323
2020,1,17,11,.085372001,.074854687,.016979622,.011348171
2020,1,17,12,.0097013135,.0089470362,-.0031313687,-.0047830809
2020,1,17,13,-.019010862,-.013807245,.00010572372,-.0091233365
2020,1,17,15,-.016321717,.055592883,-.0028143874,-.01356809
2020,1,17,16,-.025163976,-.020282129,-.00053291605,.0095775565
2020,1,17,17,-.038313296,-.041365698,-.015625883,-.018555889
